Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc
0.2,1.17956,-0.386234,-0.275881
0.175,1.16107,-0.388917,-0.277798
0.15,1.14369,-0.391431,-0.279593
0.125,1.1278,-0.39372,-0.281229
0.1,1.11396,-0.395709,-0.282649
0.075,1.10283,-0.397303,-0.283788
0.05,1.09493,-0.398435,-0.284596
0.025,1.09013,-0.399119,-0.285085
1.02141e-14,1.08764,-0.399475,-0.28534
-0.025,1.08644,-0.399646,-0.285462
-0.05,1.08585,-0.39973,-0.285521
-0.075,1.08552,-0.399776,-0.285555
-0.1,1.0853,-0.399808,-0.285577
-0.125,1.08513,-0.399833,-0.285595
-0.15,1.08497,-0.399855,-0.285611
-0.175,1.08482,-0.399876,-0.285626
-0.2,1.08468,-0.399896,-0.28564
-0.225,1.08454,-0.399917,-0.285655
-0.25,1.08439,-0.399937,-0.285669
-0.275,1.08425,-0.399957,-0.285683
-0.3,1.08411,-0.399976,-0.285697
-0.325,1.08398,-0.399996,-0.285711
-0.35,1.08384,-0.400016,-0.285725
-0.375,1.0837,-0.400035,-0.285739
-0.4,1.08356,-0.400055,-0.285753
-0.425,1.08342,-0.400074,-0.285767
-0.45,1.08328,-0.400094,-0.285781
-0.475,1.08315,-0.400114,-0.285795
-0.5,1.083,-0.400134,-0.28581
-0.525,1.08284,-0.400156,-0.285826
-0.55,1.08265,-0.400183,-0.285845
-0.575,1.08238,-0.400222,-0.285873
-0.6,1.0819,-0.40029,-0.285922
-0.625,1.08097,-0.400424,-0.286017
-0.65,1.07916,-0.400682,-0.286201
-0.675,1.07606,-0.401123,-0.286516
-0.7,1.07154,-0.401767,-0.286976
-0.725,1.06573,-0.402594,-0.287567
-0.75,1.05887,-0.403568,-0.288263
-0.775,1.05117,-0.404661,-0.289044
-0.8,1.04274,-0.405855,-0.289896
-0.825,1.03367,-0.407138,-0.290813
-0.85,1.02395,-0.40851,-0.291793
-0.875,1.01357,-0.409973,-0.292838
-0.9,1.00247,-0.411534,-0.293953
-0.925,0.990579,-0.413201,-0.295144
-0.95,0.977846,-0.414983,-0.296417
-0.975,0.964218,-0.416886,-0.297776
-1,0.949672,-0.418912,-0.299223
-1.025,0.934215,-0.421058,-0.300756
-1.05,0.917881,-0.42332,-0.302371
-1.075,0.900724,-0.425688,-0.304063
-1.1,0.882808,-0.428154,-0.305824
-1.125,0.864203,-0.430706,-0.307647
-1.15,0.844978,-0.433334,-0.309524
-1.175,0.825198,-0.436029,-0.311449
-1.2,0.804923,-0.438782,-0.313416
-1.225,0.784208,-0.441585,-0.315418
-1.25,0.763099,-0.44443,-0.31745
-1.275,0.741639,-0.447314,-0.31951
-1.3,0.719863,-0.450228,-0.321592
-1.325,0.697804,-0.453171,-0.323693
-1.35,0.675489,-0.456136,-0.325812
-1.375,0.652942,-0.459122,-0.327944
-1.4,0.630185,-0.462125,-0.330089
-1.425,0.607234,-0.465143,-0.332245
-1.45,0.584107,-0.468173,-0.334409
-1.475,0.560817,-0.471213,-0.336581
-1.5,0.537376,-0.474263,-0.338759
-1.525,0.513795,-0.477319,-0.340942
-1.55,0.490085,-0.480382,-0.34313
-1.575,0.466253,-0.48345,-0.345321
-1.6,0.442307,-0.486522,-0.347516
-1.625,0.418255,-0.489597,-0.349712
-1.65,0.394101,-0.492674,-0.35191
-1.675,0.369852,-0.495753,-0.35411
-1.7,0.345512,-0.498834,-0.35631
-1.725,0.321086,-0.501915,-0.358511
-1.75,0.296579,-0.504996,-0.360712
-1.775,0.271993,-0.508077,-0.362912
-1.8,0.247332,-0.511158,-0.365113
-1.825,0.2226,-0.514237,-0.367312
-1.85,0.197799,-0.517316,-0.369511
-1.875,0.172932,-0.520393,-0.371709
-1.9,0.148002,-0.523468,-0.373906
-1.925,0.12301,-0.526542,-0.376101
-1.95,0.0979585,-0.529613,-0.378295
-1.975,0.07285,-0.532683,-0.380488
-2,0.0476861,-0.535749,-0.382678
-2.025,0.0224685,-0.538814,-0.384867
-2.05,-0.00280111,-0.541876,-0.387054
-2.075,-0.0281213,-0.544935,-0.389239
-2.1,-0.0534906,-0.547992,-0.391423
-2.125,-0.0789076,-0.551046,-0.393604
-2.15,-0.104371,-0.554097,-0.395783
-2.175,-0.12988,-0.557145,-0.397961
-2.2,-0.155432,-0.56019,-0.400136
-2.225,-0.181028,-0.563232,-0.402309
-2.25,-0.206666,-0.566271,-0.404479
-2.275,-0.232344,-0.569307,-0.406648
-2.3,-0.258062,-0.57234,-0.408814
-2.325,-0.283819,-0.57537,-0.410979
-2.35,-0.309615,-0.578397,-0.413141
-2.375,-0.335447,-0.581421,-0.415301
-2.4,-0.361316,-0.584442,-0.417459
-2.425,-0.387221,-0.58746,-0.419614
-2.45,-0.41316,-0.590474,-0.421767
-2.475,-0.439134,-0.593486,-0.423919
-2.5,-0.46514,-0.596495,-0.426068
-2.525,-0.49118,-0.599501,-0.428215
-2.55,-0.517251,-0.602503,-0.43036
-2.575,-0.543354,-0.605503,-0.432502
-2.6,-0.569487,-0.6085,-0.434643
-2.625,-0.595651,-0.611494,-0.436781
-2.65,-0.621844,-0.614485,-0.438918
-2.675,-0.648066,-0.617473,-0.441052
-2.7,-0.674316,-0.620459,-0.443185
-2.725,-0.700594,-0.623442,-0.445315
-2.75,-0.726899,-0.626422,-0.447444
-2.775,-0.753231,-0.629399,-0.449571
-2.8,-0.779589,-0.632374,-0.451695
-2.825,-0.805972,-0.635346,-0.453818
-2.85,-0.83238,-0.638315,-0.455939
-2.875,-0.858813,-0.641282,-0.458059
-2.9,-0.885269,-0.644247,-0.460176
-2.925,-0.911748,-0.647208,-0.462292
-2.95,-0.938251,-0.650168,-0.464406
-2.975,-0.964776,-0.653125,-0.466518
-3,-0.991322,-0.65608,-0.468628
-3.025,-1.01789,-0.659032,-0.470737
-3.05,-1.04448,-0.661983,-0.472845
-3.075,-1.07109,-0.664931,-0.47495
-3.1,-1.09772,-0.667877,-0.477055
-3.125,-1.12437,-0.67082,-0.479157
-3.15,-1.15104,-0.673762,-0.481259
-3.175,-1.17772,-0.676702,-0.483358
-3.2,-1.20443,-0.67964,-0.485457
-3.225,-1.23115,-0.682576,-0.487554
-3.25,-1.2579,-0.68551,-0.48965
-3.275,-1.28466,-0.688442,-0.491744
-3.3,-1.31143,-0.691372,-0.493837
-3.325,-1.33822,-0.694301,-0.49593
-3.35,-1.36503,-0.697229,-0.49802
-3.375,-1.39186,-0.700154,-0.50011
-3.4,-1.41869,-0.703078,-0.502199
-3.425,-1.44555,-0.706001,-0.504286
-3.45,-1.47242,-0.708922,-0.506373
-3.475,-1.4993,-0.711842,-0.508458
