Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc
2.25,1.87516,0.16209,0.115779
2.275,1.9027,0.164803,0.117716
2.3,1.93029,0.167507,0.119648
2.325,1.95794,0.170202,0.121573
2.35,1.98563,0.172888,0.123491
2.375,2.01338,0.175565,0.125404
2.4,2.04118,0.178233,0.12731
2.425,2.06902,0.180893,0.129209
2.45,2.09692,0.183544,0.131103
2.475,2.12487,0.186186,0.13299
2.5,2.15286,0.18882,0.134872
2.525,2.1809,0.191446,0.136747
2.55,2.20899,0.194063,0.138616
2.575,2.23713,0.196671,0.140479
2.6,2.26531,0.199271,0.142337
2.625,2.29355,0.201863,0.144188
2.65,2.32182,0.204447,0.146034
2.675,2.35015,0.207023,0.147873
2.7,2.37851,0.20959,0.149707
2.725,2.40693,0.21215,0.151535
2.75,2.43538,0.214701,0.153358
2.775,2.46389,0.217245,0.155175
2.8,2.49243,0.21978,0.156986
2.825,2.52102,0.222308,0.158792
2.85,2.54965,0.224828,0.160592
2.875,2.57833,0.227341,0.162386
2.9,2.60704,0.229846,0.164175
2.925,2.6358,0.232343,0.165959
2.95,2.6646,0.234832,0.167737
2.975,2.69344,0.237315,0.16951
3,2.72233,0.239789,0.171278
3.025,2.75125,0.242256,0.17304
3.05,2.78021,0.244716,0.174797
3.075,2.80921,0.247169,0.176549
3.1,2.83825,0.249615,0.178296
3.125,2.86733,0.252053,0.180038
3.15,2.89645,0.254484,0.181774
3.175,2.92561,0.256908,0.183506
3.2,2.95481,0.259325,0.185232
3.225,2.98404,0.261735,0.186954
3.25,3.01331,0.264138,0.18867
3.275,3.04262,0.266535,0.190382
3.3,3.07196,0.268924,0.192089
3.325,3.10134,0.271307,0.193791
3.35,3.13076,0.273683,0.195488
3.375,3.16022,0.276052,0.19718
3.4,3.18971,0.278415,0.198868
3.425,3.21923,0.280771,0.200551
3.45,3.24879,0.283121,0.202229
3.475,3.27838,0.285464,0.203903
3.5,3.30801,0.2878,0.205572
3.525,3.33768,0.290131,0.207236
3.55,3.36737,0.292455,0.208896
3.575,3.39711,0.294773,0.210552
3.6,3.42687,0.297084,0.212203
3.625,3.45667,0.299389,0.21385
3.65,3.4865,0.301689,0.215492
3.675,3.51636,0.303982,0.21713
3.7,3.54626,0.306269,0.218763
3.725,3.57619,0.30855,0.220393
3.75,3.60614,0.310825,0.222018
3.775,3.63614,0.313094,0.223639
3.8,3.66616,0.315357,0.225255
3.825,3.69621,0.317615,0.226868
3.85,3.7263,0.319867,0.228476
3.875,3.75641,0.322112,0.23008
3.9,3.78656,0.324353,0.231681
3.925,3.81673,0.326587,0.233277
3.95,3.84694,0.328816,0.234869
3.975,3.87718,0.33104,0.236457
4,3.90744,0.333258,0.238041
