Vg_V,P_uC_cm2,E_MV_cm
-4.0,2.06647275249848,0.772935218284919
-3.975,2.05889304941655,0.7657252382286149
-3.95,2.05119498551422,0.7585421835974839
-3.925,2.04337769121656,0.751386258575618
-3.9,2.03544031705356,0.7442576629784159
-3.875,2.02738203471244,0.737156592579043
-3.85,2.0192020370986703,0.730083238554657
-3.825,2.0108995391093303,0.7230377875980459
-3.8,2.00247377809767,0.716020421769586
-3.775,1.99392401436834,0.7090313183982
-3.75,1.9852495316521601,0.702070649985757
-3.725,1.97644964623361,0.69513859088543
-3.7,1.9675237149183298,0.688235322373274
-3.675,1.9584710972149102,0.6813610027039
-3.65,1.9492911763734901,0.674515783860735
-3.625,1.93998336116734,0.667699812607215
-3.6,1.93054708624199,0.660913230422102
-3.575,1.9209818124419098,0.6541561734402449
-3.55,1.91128702711463,0.647428772399036
-3.525,1.90146224439229,0.640731152590625
-3.5,1.89150700544977,0.634063433819582
-3.475,1.8814208787403,0.627425730366596
-3.45,1.87120346020818,0.6208181509580749
-3.425,1.86085437348011,0.614240798742547
-3.4,1.8503732700333602,0.6076937712725661
-3.375,1.83975982933231,0.601177160486831
-3.35,1.8290137589545201,0.594691052705905
-3.325,1.81813479469049,0.588235528630943
-3.3,1.80712270062213,0.5818106633484809
-3.275,1.79597726917845,0.575416526340141
-3.25,1.78469832117177,0.5690531814989129
-3.225,1.77328570581291,0.5627206871506251
-3.2,1.7617393007064,0.556419096081004
-3.175,1.7500590118270298,0.550148455568476
-3.15,1.7382447734811102,0.54390880742408
-3.125,1.72629654824189,0.537700188032457
-3.1,1.71421432687322,0.531522628400922
-3.075,1.70199812823902,0.525376154214713
-3.05,1.68964799919605,0.519260785896471
-3.025,1.67716401447243,0.513176538670699
-3.0,1.66454627653334,0.507123422633319
-2.975,1.65179491543536,0.501101442826381
-2.95,1.6389100886697798,0.49511059931748597
-2.925,1.62589198099635,0.489150887283876
-2.9,1.61274080426891,0.483222297101322
-2.875,1.5994567972535099,0.477324814437307
-2.85,1.58604022544208,0.47145842034923596
-2.825,1.5724913808611398,0.465623091386724
-2.8,1.55881058187672,0.459818799697779
-2.775,1.54499817300164,0.454045513140799
-2.75,1.53105452470288,0.448303195400602
-2.725,1.5169800332030199,0.442591806105318
-2.7,1.50277512029351,0.43691130095084496
-2.675,1.48844023315106,0.43126163182843097
-2.65,1.47397584416412,0.425642746957355
-2.625,1.4593824507675999,0.42005459102121
-2.6,1.4446605752919701,0.414497105309371
-2.575,1.42981076482347,0.408970227861577
-2.55,1.41483364742996,0.40347391415156697
-2.525,1.3997299114575998,0.398008128416342
-2.5,1.3845001803250299,0.392572798641421
-2.475,1.3691451007664601,0.387167849847735
-2.45,1.3536653440717201,0.381793204722436
-2.425,1.33806160609603,0.37644878378897395
-2.4,1.3223346073092999,0.371134505584538
-2.375,1.30648509288065,0.365850286842425
-2.35,1.29051383280725,0.360596042681367
-2.325,1.2744216220962301,0.355371686803669
-2.3,1.2582092809930798,0.35017713169887094
-2.275,1.2418776552748598,0.34501228885771396
-2.25,1.22542761660533,0.339877068994284
-2.225,1.20886006296036,0.334771382277676
-2.2,1.19217591913617,0.32969513857578703
-2.175,1.17537613732385,0.324648247704794
-2.15,1.15846169779955,0.319630619697979
-2.125,1.14143360969397,0.31464216508125
-2.1,1.12429291188671,0.309682795167478
-2.075,1.1070406740195402,0.304752422365913
-2.05,1.08967799766128,0.29985096051423393
-2.025,1.07220601760429,0.294978325225315
-2.0,1.0546259033239098,0.290134434255696
-1.975,1.03693886065277,0.285319207907565
-1.95,1.01914613365689,0.28053256945763
-1.925,1.0012490067475601,0.275774445619213
-1.9,0.9832488070492411,0.271044767039756
-1.875,0.965146907062556,0.26634346884058296
-1.85,0.9469447276586079,0.261670491204321
-1.825,0.928643741436418,0.25702578001384996
-1.8,0.910245476497689,0.252409287551793
-1.775,0.891751520683491,0.24782097326641597
-1.75,0.8731635263423461,0.243260804615294
-1.725,0.8544832156918201,0.23872875799534599
-1.7,0.835712386851717,0.23422481977082898
-1.675,0.816852920648502,0.229748987415007
-1.65,0.797906788290295,0.22530127077971
-1.625,0.7788760600403339,0.22088169351242198
-1.6,0.759762915027735,0.21649029464133598
-1.575,0.7405696523743169,0.212127130356115
-1.55,0.7212987038193339,0.207792276010517
-1.525,0.701952648103167,0.203485828388396
-1.5,0.682534227360377,0.199207908268897
-1.475,0.663046365858778,0.194958663342545
-1.45000000000001,0.643492191467292,0.19073827153572998
-1.42500000000001,0.62387506027956,0.186546944806078
-1.40000000000001,0.60419858492613,0.182384933488735
-1.37500000000001,0.5844666671843121,0.17825253128349197
-1.35000000000001,0.564683535615241,0.174150080990919
-1.32500000000001,0.54485378910491,0.170077981127968
-1.30000000000001,0.5249824473799201,0.16603669358346898
-1.27500000000001,0.505075009689529,0.16202675248702197
-1.25000000000001,0.485137523221218,0.158048774527665
-1.22500000000001,0.46517666295671395,0.154103470970354
-1.20000000000001,0.445199825121457,0.15019166168936798
-1.17500000000001,0.42521523675716,0.146314291590353
-1.15000000000001,0.405232084410394,0.14247244985879098
-1.12500000000001,0.38526066547756,0.138667392550975
-1.10000000000001,0.365312566304894,0.134900569119755
-1.07500000000001,0.345400872064835,0.131173653608372
-1.05000000000001,0.325540413107223,0.127488581149444
-1.02500000000001,0.305748054501151,0.123847590751052
-1.00000000000001,0.28604303431770195,0.12025327509896498
-0.975000000000007,0.26644735675584696,0.11670863818828099
-0.950000000000007,0.24698624456462898,0.113217161293654
-0.925000000000007,0.227688651848996,0.109782877215232
-0.900000000000007,0.208587831434109,0.106410451599547
-0.875000000000007,0.189721938245708,0.103105268081992
-0.850000000000007,0.171134628267112,0.0998735105120699
-0.825000000000007,0.15287557689883402,0.0967222298977502
-0.800000000000007,0.135000785392012,0.0936593751131561
-0.775000000000007,0.11757246504577,0.0906937542547102
-0.750000000000008,0.100658188706555,0.0878348783787441
-0.725000000000008,0.0843288999914278,0.0850926249211729
-0.700000000000008,0.06865533517604801,0.0824766544469373
-0.675000000000008,0.053702565436731096,0.0799955410818412
-0.650000000000008,0.0395228799911254,0.0776556603555096
-0.625000000000008,0.0261481921339358,0.0754600301691612
-0.600000000000008,0.013584280134379,0.07340747409649201
-0.575000000000008,0.00180964080109351,0.0714925385036698
-0.550000000000008,-0.00921935138369907,0.0697064101469324
-0.525000000000008,-0.0195577022454062,0.0680386929826689
-0.500000000000008,-0.0292582670087304,0.0664795828438616
-0.475000000000009,-0.0383583393081319,0.06502197667978199
-0.450000000000009,-0.0468675255231326,0.06366334231268389
-0.425000000000009,-0.0547559596713899,0.062407512435045394
-0.400000000000009,-0.061941091965203594,0.0612666937368036
-0.375000000000009,-0.0682740870418884,0.06026353827848369
-0.350000000000009,-0.0735394571885516,0.0594311491926848
-0.325000000000009,-0.0775111850073557,0.058804249755850795
-0.300000000000009,-0.080113776578749,0.058393933701425094
-0.275000000000009,-0.0815766984739311,0.0581635091029427
-0.250000000000009,-0.0823241435738076,0.058045899882929394
-0.225000000000009,-0.0827157136657663,0.057984377078514796
-0.20000000000001,-0.0829536826553377,0.057947056770052595
-0.17500000000001,-0.0831298189975678,0.057919478641826894
-0.15000000000001,-0.0832818469541869,0.0578956993599973
-0.12500000000001,-0.0834246558213082,0.0578733734315995
-0.10000000000001,-0.083564035980979,0.0578515887991998
-0.0750000000000099,-0.08370223613125949,0.057829991313641
-0.05000000000001,-0.0838401411296137,0.05780844165533949
-0.0250000000000101,-0.08397811589431631,0.057786882405423
-1.02140518265514e-14,-0.0841163321145708,0.0577652865891283
0.0249999999999897,-0.0842548965075265,0.0577436374797917
0.0499999999999901,-0.0843939047144595,0.0577219201170618
0.0749999999999904,-0.0845334709311252,0.05770011665063769
0.0999999999999908,-0.0846737581685339,0.057678201592185493
0.124999999999991,-0.08481503263961819,0.057656133283553394
0.149999999999991,-0.0849577862008958,0.0576338346825265
0.174999999999992,-0.085103031966136,0.0576111469581002
0.199999999999992,-0.08525303760457671,0.0575877143511983
0.224999999999993,-0.08541316723670819,0.057562694920042
0.249999999999993,-0.0855965247937381,0.057534031263351396
0.274999999999993,-0.08583558024208071,0.057496624477457195
0.299999999999994,-0.0862105094266003,0.0574378835399883
