Vg_V,Id_A_um
-3.5,2.2930138183266558e-07
-3.48000000000005,2.289696230526189e-07
-3.46000000000011,2.2886476524139333e-07
-3.44000000000016,2.2875903209732335e-07
-3.42000000000022,2.2865257044317336e-07
-3.40000000000027,2.285455992888722e-07
-3.38000000000032,2.284376119329689e-07
-3.36000000000038,2.2832880833748778e-07
-3.34000000000043,2.2821916496425556e-07
-3.32000000000048,2.281086562033989e-07
-3.30000000000054,2.2799725581710002e-07
-3.28000000000059,2.2788493776020224e-07
-3.26000000000065,2.2777167561283892e-07
-3.2400000000007,2.2765744582206002e-07
-3.22000000000075,2.2754222628905445e-07
-3.20000000000081,2.2742600066705556e-07
-3.18000000000086,2.273087582957889e-07
-3.16000000000091,2.2719049692655556e-07
-3.14000000000097,2.2707122349954557e-07
-3.12000000000102,2.2695095330379222e-07
-3.10000000000108,2.2682970779265557e-07
-3.08000000000113,2.267075093150278e-07
-3.06000000000118,2.2658437618234555e-07
-3.04000000000124,2.2646031701934556e-07
-3.02000000000129,2.2633532815559558e-07
-3.00000000000134,2.2620939377960222e-07
-2.9800000000014,2.2608248813186444e-07
-2.96000000000145,2.2595458073948557e-07
-2.94000000000151,2.2582563469185333e-07
-2.92000000000156,2.256956153567567e-07
-2.90000000000161,2.255644898292267e-07
-2.88000000000167,2.2543223176858112e-07
-2.86000000000172,2.2529881300299666e-07
-2.84000000000177,2.2516421099646892e-07
-2.82000000000183,2.2502839921242558e-07
-2.80000000000188,2.2489135673444334e-07
-2.78000000000194,2.2475305699119445e-07
-2.76000000000199,2.2461348074960224e-07
-2.74000000000204,2.2447260389924556e-07
-2.7200000000021,2.2433041303172891e-07
-2.70000000000215,2.241868990084989e-07
-2.68000000000221,2.2404158808315e-07
-2.66000000000226,2.238946745634989e-07
-2.64000000000231,2.2374634117078555e-07
-2.62000000000237,2.2359653341264111e-07
-2.60000000000242,2.2344521418605445e-07
-2.58000000000247,2.232923368061767e-07
-2.56000000000253,2.2313786678780447e-07
-2.54000000000258,2.2298175559641778e-07
-2.52000000000264,2.2282396753880112e-07
-2.50000000000269,2.2266445094938667e-07
-2.48000000000274,2.2250316806303002e-07
-2.4600000000028,2.223400628411922e-07
-2.44000000000285,2.2217509554187336e-07
-2.4200000000029,2.220082059111256e-07
-2.40000000000296,2.218393532743711e-07
-2.38000000000301,2.2166847258105443e-07
-2.36000000000307,2.2149552288116335e-07
-2.34000000000312,2.2132043443096667e-07
-2.32000000000317,2.211431667204167e-07
-2.30000000000323,2.2096364619306777e-07
-2.28000000000328,2.2078183298588666e-07
-2.26000000000333,2.2059765009634002e-07
