V_G_V,I_D_A_per_um
-3.50,3.98e-10
-3.10,2.00e-10
-2.70,1.00e-10
-2.30,5.01e-11
-1.90,2.51e-11
-1.50,1.26e-11
-1.10,6.31e-12
-0.95,1.00e-08
-0.873,2.50e-08
-0.769,6.49e-08
-0.666,1.30e-07
-0.562,3.38e-07
-0.499,9.36e-07
-0.333,2.59e-06
-0.044,3.55e-06
0.100,4.29e-06
0.575,4.55e-06
0.884,4.54e-06
1.317,4.82e-06
