t_si_nm,window,id_off_uA_um,id_on_uA_um,v_op_V,igain,qg_C,w_eff_tesw_um,id_on_uA_um_tesw,id_off_uA_um_tesw
5,47308.6,2.359647887323944e-09,0.00011161267605633803,4.0,0.755,5.508380281690141e-16,0.09,0.00011161267605633803,2.359647887323944e-09
8,20239.2,5.311901408450705e-09,0.00010749295774647888,4.0,0.728,5.524225352112676e-16,0.096,0.00010077464788732394,4.979907570422536e-09
10,13338.9,7.96056338028169e-09,0.00010616197183098593,4.0,0.716,5.534366197183099e-16,0.1,9.554577464788733e-05,7.164507042253521e-09
12,9178.1,1.1452816901408452e-08,0.00010508450704225352,4.0,0.705,5.545140845070423e-16,0.10400000000000001,9.093851570964245e-05,9.911091549295774e-09
15,5800.0,1.8063380281690144e-08,0.00010521126760563381,4.0,,,0.11,8.60819462227913e-05,1.4779129321382843e-08
