vread_V,dr,id_off_uA_um,v_op_V,qg_C
-1.3,795.384,1.1250000000000001e-07,4.0,3.7819014084507046e-16
-1.1,26797.762,3.256478873239437e-09,4.0,3.8078873239436625e-16
-0.9,49163.098,1.7626056338028168e-09,4.0,3.8313380281690143e-16
-0.7,244.108,3.496690140845071e-07,4.0,3.8554225352112684e-16
-0.5,2.592,5.543239436619719e-05,4.0,3.8788732394366197e-16
-0.3,7.541,0.008518309859154931,4.0,3.8978873239436625e-16
