Y,Polarization-Y,ElectricField-Y,ElectrostaticPotential,ConductionBandEnergy,eDensity,hDensity,SpaceCharge
-0.0024999999,0,-0.064429206,0.52122718,-0.03211163,5.0000002e+19,348.61338,-1.655182e+12
-0.00060000148,0,-0.048386663,0.52122719,-0.03211164,5.0000002e+19,348.61325,-1.5713026e+12
0,0,-0.045904175,0.52122719,-0.03211164,5.0000002e+19,348.61327,-1.5437501e+12
0.0014724988,0,-0.022452258,0.5212272,-0.032111648,5.0000002e+19,348.61308,-1.5787209e+12
0.0019375,0,-0.020279571,0.5212272,-0.032111649,5.0000002e+19,348.61308,-1.5746206e+12
0.0023649996,0,-0.0030639851,0.5212272,-0.032111649,5.0000002e+19,348.61308,-1.5691519e+12
0.0024999999,0,-0.0023233382,0.5212272,-0.032111649,5.0000002e+19,348.61308,-1.5669479e+12

