Y,Polarization-Y,ElectricField-Y,ElectrostaticPotential,ConductionBandEnergy,eDensity,hDensity,SpaceCharge
-0.0155,0,2.3856e-07,-0.034223773,0,0,0,0
-0.01519,0,2.3855519e-07,-0.034223773,0,0,0,0
-0.011625,0,2.3852747e-07,-0.034223773,0,0,0,0
-0.01059,-3.0149923e-07,-156540.54,-0.034223773,0,0,0,0
-0.0105,-3.2770136e-07,-170132.35,-0.034223773,0,0,0,0
-0.0105,-3.2770136e-07,-170132.35,-0.034223773,1.1908956e-13,0,0,0
-0.0079699997,-3.2766303e-07,-224130.82,0.023681427,2.3683736,0,0,0
-0.0077499999,-3.2765914e-07,-228819.6,0.028709154,2.5743267,0,0,0
-0.0059675002,-3.2766341e-07,-228826.89,0.06950385,2.533532,0,0,0
-0.0058125001,-3.2766328e-07,-228827.78,0.073045974,2.5299899,0,0,0
-0.00403,-3.2772534e-07,-228786.8,0.11383795,2.4891979,0,0,0
-0.0038749999,-3.2773014e-07,-228783.46,0.1173799,2.4856559,0,0,0
-0.0035300001,-3.2762276e-07,-1733033.5,0.12527474,2.4777611,0,0,0
-0.0035000001,-3.2761354e-07,-1863686.1,0.12596025,2.4770756,0,0,0
-0.0035000001,-3.2761354e-07,-1863686.1,0.12596025,2.4770756,0,0,0
-0.0029537501,-2.6193702e-08,-2803371.4,0.28356902,3.3523879,0,0,0
-0.0029062501,0,-2884988.4,0.29725791,3.4285183,0,0,0
-0.0025325001,0,-465478.11,0.40509535,0.40131909,0,0,0
-0.0024999999,0,-255294.61,0.41446142,0.13809538,0,0,0
-0.0024999999,0,-255294.61,0.41446142,0.13809538,5.170737e+16,4430.1381,1.1692187e+21
-0.0024281251,0,-255526.22,0.41629681,0.13625999,5.5512915e+16,4127.0993,9.3436519e+19
-0.002421875,0,-255546.81,0.4164559,0.13610089,5.5851622e+16,4101.2138,-6.5851622e+16
-0.00197625,0,-255917.68,0.42784795,0.12470885,8.7320452e+16,2663.5884,-9.7320452e+16
-0.0019375,0,-255950.71,0.42883546,0.12372133,9.0118745e+16,2540.6832,-1.0011875e+17
-0.001491875,0,-256825.98,0.44026067,0.11229613,1.4105171e+17,1648.164,-1.5105171e+17
-0.001453125,0,-256903.82,0.44125113,0.11130566,1.4557435e+17,1571.7414,-1.5557435e+17
-0.0010075,0,-259157.2,0.45272797,0.099828823,2.2823608e+17,1017.7237,-2.3823608e+17
-0.00096874998,0,-259357.35,0.45372303,0.098833764,2.3556614e+17,970.21124,-2.4556614e+17
-7.750003e-05,0,-264503.94,0.47692158,0.075635216,5.9025597e+17,413.71927,-6.0025597e+17
0,0,-264960.26,0.47893345,0.073623349,6.2164499e+17,365.89295,-6.3164499e+17
0.00089124998,0,-274994.97,0.50297326,0.049583539,1.5991327e+18,151.65383,-1.6091327e+18
0.00096874998,0,-275883.31,0.50505968,0.047497115,1.6854866e+18,133.18443,-1.6954866e+18
0.001414375,0,-297541.48,0.51792708,0.034629712,2.7588863e+18,81.963383,-2.7688863e+18
0.001453125,0,-299456.58,0.51904525,0.033511541,2.8536973e+18,77.536368,-2.8636973e+18
0.00189875,0,-326449.04,0.53286715,0.019689644,4.7993808e+18,46.08329,-4.8093808e+18
0.0019375,0,-328834.99,0.5340697,0.018487097,4.9713372e+18,43.361415,-4.9813372e+18
0.002383125,0,-350974.91,0.54955211,0.003004689,8.7325673e+18,24.265829,-8.7425673e+18
0.002421875,0,-352932.11,0.55090143,0.0016553695,9.065452e+18,22.611868,-9.075452e+18
0.0024937498,0,-384202.08,0.55368192,-0.0011251227,9.9844406e+18,20.315285,1.0076322e+21
0.0024999999,0,-386967.65,0.55392461,-0.001367813,1.0065887e+19,20.116271,1.0960297e+21
0.0024999999,0,-386967.65,0.55392461,-0.001367813,0,0,0
0.0028737499,0,728859.56,0.52305403,2.9488645,0,0,0
0.0029062501,0,825611.53,0.52038559,3.2053906,0,0,0
0.0034525001,-1.6790162e-06,788860.38,0.47526681,2.2175883,0,0,0
0.0035000001,-1.8250622e-06,785803.69,0.47136676,2.1316691,0,0,0
0.0035000001,-1.8250622e-06,785803.69,0.47136676,2.1316691,0,0,0
0.0038449999,-1.8253497e-06,727173.79,0.44644801,2.1565878,0,0,0
0.0038749999,-1.8253746e-06,722297.89,0.44428233,2.1587535,0,0,0
0.0056575001,-1.8252684e-06,722270.02,0.31553378,2.2875021,0,0,0
0.0058125001,-1.8252589e-06,722267.48,0.30434432,2.2986915,0,0,0
0.0075949999,-1.8252944e-06,722303.4,0.17559354,2.4274423,0,0,0
0.0077499999,-1.8252973e-06,722306.25,0.16440393,2.4386319,0,0,0
0.01028,-1.8254387e-06,551600.26,-0.018341585,0.19509866,0,0,0
0.0105,-1.825451e-06,536764.51,-0.034223773,7.1209796e-13,0,0,0
0.0105,-1.825451e-06,536764.51,-0.034223773,0,0,0,0
0.011535,-1.4607666e-07,42919.555,-0.034223773,0,0,0,0
0.011625,0,-1.4245467e-06,-0.034223773,0,0,0,0
0.01519,0,-1.4245556e-06,-0.034223773,0,0,0,0
0.0155,0,-1.4245559e-06,-0.034223773,0,0,0,0

