Y,Polarization-Y,ElectricField-Y,ElectrostaticPotential,ConductionBandEnergy,eDensity,hDensity,SpaceCharge
-0.0155,0,1.1100184e-06,-0.034223773,0,0,0,0
-0.015499999,0,1.1100184e-06,-0.034223773,0,0,0,0
-0.011625,-3.2702008e-13,0.011148561,-0.034223773,0,0,0,0
-0.0105,-1.6215136e-06,51520.592,-0.034223773,0,0,0,0
-0.0105,-1.6215136e-06,51520.592,-0.034223773,5.3123005e-13,0,0,0
-0.010499999,-1.6215136e-06,51520.595,-0.034223777,6.3299921e-07,0,0,0
-0.0077499999,-1.6993739e-06,69420.876,-0.053583929,2.6566198,0,0,0
-0.0077499994,-1.6993739e-06,69420.873,-0.053583932,2.6566198,0,0,0
-0.0058125001,-1.7247127e-06,58921.319,-0.065755163,2.668791,0,0,0
-0.0058124997,-1.7247126e-06,58921.317,-0.065755165,2.668791,0,0,0
-0.0038749999,-1.6682485e-06,51202.479,-0.075947059,2.6789829,0,0,0
-0.0035000001,-1.8794906e-06,-2952891.2,-0.07764803,2.6806839,0,0,0
-0.0035000001,-1.8794906e-06,-2952891.2,-0.07764803,2.6806839,0,0,0
-0.0034999999,-1.8794903e-06,-2952891.6,-0.07764798,2.6806841,0,0,0
-0.0029062501,0,-4866681.9,0.21017437,3.5156019,0,0,0
-0.0024999999,0,-922641.01,0.40869043,0.080425137,0,0,0
-0.0024999999,0,-922641.01,0.40869043,0.080425136,1.2538535e+18,4.3963159e+11,1.1856602e+21
-0.002421875,0,-760123.08,0.41592285,0.073192711,1.650511e+18,3.3244957e+11,4.8349477e+19
-0.0019375,0,-622118.28,0.45231222,0.036803343,6.3637366e+18,8.150166e+10,4.3636252e+19
-0.0019374999,0,-622118.27,0.45231222,0.03680334,6.3637366e+18,8.1501393e+10,4.3636252e+19
-0.001453125,0,-398366.15,0.47625423,0.012861334,1.4536443e+19,3.2349897e+10,3.5463546e+19
-0.0014531249,0,-398366.13,0.47625423,0.012861331,1.4536443e+19,3.2349767e+10,3.5463546e+19
-0.00096874998,0,-159538.12,0.49092449,-0.0018089318,2.3104796e+19,1.8380501e+10,2.6895192e+19
-0.00096874975,0,-159538.1,0.4909245,-0.0018089355,2.3104796e+19,1.83804e+10,2.6895192e+19
0,0,-53889.926,0.50200361,-0.012888047,3.1900205e+19,1.2001857e+10,1.8099783e+19
2.3096794e-10,0,-53889.905,0.50200361,-0.012888048,3.1900205e+19,1.2001832e+10,1.8099783e+19
0.00096874998,0,26514.499,0.5011678,-0.012052238,3.116075e+19,1.240773e+10,1.8839238e+19
0.0009687501,0,26514.513,0.5011678,-0.012052238,3.116075e+19,1.2407731e+10,1.8839238e+19
0.001453125,0,166777.63,0.4956448,-0.0065292408,2.6589869e+19,1.5337996e+10,2.3410119e+19
0.0014531252,0,166777.64,0.4956448,-0.0065292401,2.6589869e+19,1.5338007e+10,2.3410119e+19
0.0019375,0,302956.87,0.48493464,0.0041809262,1.9211887e+19,2.3155904e+10,3.0788101e+19
0.0019375001,0,302956.88,0.48493463,0.0041809274,1.9211887e+19,2.3155926e+10,3.0788101e+19
0.002421875,0,395849.14,0.4661635,0.022952063,1.0354686e+19,4.7745479e+10,3.9645302e+19
0.0024999999,0,523937.05,0.4620491,0.027066459,8.981075e+18,5.5969013e+10,1.162552e+21
0.0024999999,0,523937.64,0.46204908,0.027067241,0,0,0
0.0029062501,0,3622541.7,0.31376831,3.4120079,0,0,0
0.0029062503,9.2804535e-14,3622541.5,0.31376827,3.4120077,0,0,0
0.0035000001,5.5032511e-07,2304939.7,0.099234661,2.5038012,0,0,0
0.0035000001,5.5032513e-07,2304939.4,0.099234659,2.5038012,0,0,0
0.0038749999,6.3069516e-07,202302.89,0.09132017,2.5117157,0,0,0
0.0038750004,6.3069516e-07,202302.89,0.091320163,2.5117157,0,0,0
0.0058125001,5.8548343e-07,192898.26,0.052584483,2.5504514,0,0,0
0.0058125006,5.8548343e-07,192898.26,0.052584475,2.5504514,0,0,0
0.0077499999,5.843088e-07,183453.32,0.015953091,2.5870828,0,0,0
0.0077500003,5.8430881e-07,183453.31,0.01595308,2.5870821,0,0,0
0.0105,6.0687325e-07,136291.39,-0.034223773,2.9831177e-13,0,0,0
0.0105,6.0687313e-07,136291.36,-0.034223773,0,0,0,0
0.011625,0,-5.9301082e-07,-0.034223773,0,0,0,0
0.015499999,0,-6.5548222e-07,-0.034223773,0,0,0,0
0.0155,0,-6.5548224e-07,-0.034223773,0,0,0,0

