tag,V_erase,cycle,ID_pre,ID_p9,ID_p9_source,fire_ratio,ID_end_relax,restore_ratio,Pol_y_end_relax,monotonic_p2_p9
cyclic_vm4,-4.0,1,2.657836987769911e-07,1.2734496930840222e-06,c1_p9_read,4.791300967455212,3.079544104782322e-07,1.158665531013717,1.60844709270066e-07,True
cyclic_vm4,-4.0,2,3.079544104782322e-07,3.4739686948775446e-06,c2_p9_read,11.280788898209666,4.931272608953499e-07,1.8553706008475488,1.64428144137828e-07,True
cyclic_vm4,-4.0,3,4.931272608953499e-07,3.008374897074422e-06,c3_p9_read,6.100605534588061,4.818913696344189e-07,1.8130960320435432,1.64010503022153e-07,True
cyclic_vm4,-4.0,4,4.818913696344189e-07,3.022675478772411e-06,c4_p9_read,6.272524617042898,4.824030459901377e-07,1.8150211928343416,1.64033340182543e-07,True
cyclic_vm4,-4.0,5,4.824030459901377e-07,3.021955456907911e-06,c5_p9_read,6.264378888208123,5.104404474261311e-07,1.9205107377726054,1.64235898874598e-07,True
cyclic_vm6,-6.0,1,2.657836987769911e-07,1.2734496930840222e-06,c1_p9_read,4.791300967455212,3.9338989152926783e-07,1.4801129389780454,8.7907235812298e-07,True
cyclic_vm6,-6.0,2,3.9338989152926783e-07,2.0515582289241223e-06,c2_p9_read,5.215076119391055,3.805662702386378e-07,1.431864602644259,6.94015880757808e-07,True
cyclic_vm6,-6.0,3,3.805662702386378e-07,1.1579803299388556e-06,c3_p9_read,3.0427823496095243,3.838374745585345e-07,1.444172371461343,6.95767588801398e-07,True
cyclic_vm6,-6.0,4,3.838374745585345e-07,1.175051295230678e-06,c4_p9_read,3.0613251001146966,3.836534434745722e-07,1.443479962239825,6.95783278148793e-07,True
cyclic_vm6,-6.0,5,3.836534434745722e-07,1.1749169072094556e-06,c5_p9_read,3.062443273201917,3.836674914793489e-07,1.443532817267584,6.95781603251923e-07,True
cyclic_vm10,-10.0,1,2.657836987769911e-07,1.2734496930840222e-06,c1_p9_read,4.791300967455212,5.843925816187688e-07,2.19875253564407,7.88064406229921e-07,True
cyclic_vm10,-10.0,2,5.843925816187688e-07,1.1313832223850777e-06,c2_p9_read,1.9359986043134625,6.358283508608667e-07,2.3922774563927107,6.26060988581314e-07,True
cyclic_vm10,-10.0,3,6.358283508608667e-07,1.1276409784056557e-06,c3_p9_read,1.7734990534456498,6.2234707235132e-07,2.3415547124035907,6.45911816144209e-07,True
cyclic_vm10,-10.0,4,6.2234707235132e-07,1.1407534507791334e-06,c4_p9_read,1.832985967892798,6.222150734015001e-07,2.341058071900703,6.44422207515456e-07,True
cyclic_vm10,-10.0,5,6.222150734015001e-07,1.1149349811315e-06,c5_p9_read,1.791880378333522,6.217449559993256e-07,2.3392892749265557,6.44572429239565e-07,True
