cycle,ID_pre (uA/um),ID_p9 (uA/um),ID_p9_source,ID_end_erase_hold (uA/um),ID_end_relax (uA/um),Pol_y_end_relax (uC/cm2),fire_ratio,restore_ratio_vs_virgin,monotonic_p2_p9,ID_p1,ID_p2,ID_p3,ID_p4,ID_p5,ID_p6,ID_p7,ID_p8,ID_p9
1,2.657836987769911e-07,1.2734496930840222e-06,c1_p9_read,8.4789491934496e-05,3.079544104782322e-07,1.60844709270066e-07,4.791300967455212,1.158665531013717,True,4.543859273186412e-08,1.4929767266116003e-07,3.1370870733305334e-07,4.844459384941e-07,6.944068445943277e-07,9.146616565585334e-07,1.0843712760694244e-06,1.2021407684874556e-06,1.2734496930840222e-06
2,3.079544104782322e-07,3.4739686948775446e-06,c2_p9_read,7.478812973662855e-05,4.931272608953499e-07,1.64428144137828e-07,11.280788898209666,1.8553706008475488,True,5.340075487775634e-07,1.192819584334978e-06,1.7614759064659666e-06,2.232126183359689e-06,2.6111339724381226e-06,2.9079483948467667e-06,3.1385851442362995e-06,3.3370007706945776e-06,3.4739686948775446e-06
3,4.931272608953499e-07,3.008374897074422e-06,c3_p9_read,7.509350644044445e-05,4.818913696344189e-07,1.64010503022153e-07,6.100605534588061,1.8130960320435432,True,3.6139273519140113e-07,9.521098956947634e-07,1.473129228581522e-06,1.9056598387243335e-06,2.2562823985760555e-06,2.5331745817870446e-06,2.745102455569578e-06,2.9007582385394445e-06,3.008374897074422e-06
4,4.818913696344189e-07,3.022675478772411e-06,c4_p9_read,7.508436710551656e-05,4.824030459901377e-07,1.64033340182543e-07,6.272524617042898,1.8150211928343416,True,3.694412335652411e-07,9.6458710578303e-07,1.4864465404848668e-06,1.919565329020689e-06,2.270571103798167e-06,2.547664988429478e-06,2.7596443156394783e-06,2.915229836811389e-06,3.022675478772411e-06
5,4.824030459901377e-07,3.021955456907911e-06,c5_p9_read,7.508474763581433e-05,5.104404474261311e-07,1.64235898874598e-07,6.264378888208123,1.9205107377726054,True,3.690975404427578e-07,9.639996835339643e-07,1.4858058868444334e-06,1.9188901676910226e-06,2.2698670080285004e-06,2.546947285653956e-06,2.7589190276082777e-06,2.9145050601439778e-06,3.021955456907911e-06
