V_settle_V,ID_baseline_virgin_uA_per_um,ID_p9_uA_per_um,ID_start_of_hold_uA_per_um,ID_end_of_hold_uA_per_um,Pol_y_end_of_hold_uC_per_cm2,tau_leak_us,ID_virgin_predicted_uA_per_um,ratio_to_virgin,ID_post_hold_read_uA_per_um,virgin_restoration_ratio
-3.5,2.657836987769911e-07,1.2734496930840222e-06,0.03452700612029933,1.4035262437887223e-05,9.52015997947144e-07,7.521229300144377,2.6578369877699113e-37,5.280708524439519e+31,0.00014410236491333334,542.1790936630922
-3.0,2.657836987769911e-07,1.2734496930840222e-06,0.029787445083730664,7.751973647096323e-06,6.78482925813447e-07,7.692926139357555,2.657836987769911e-32,2.916647515542594e+26,0.00017316508747738666,651.5263662677929
-2.5,2.657836987769911e-07,1.2734496930840222e-06,0.024515830071611556,5.773053086066355e-06,4.34398996568963e-07,8.069747835269748,2.657836987769911e-27,2.1720869687009293e+21,0.00020034372212209334,753.7848372341076
-2.0,2.657836987769911e-07,1.2734496930840222e-06,0.018796060571492,4.0103987977929e-06,2.12567052898446e-07,9.958986873818347,2.6578369877699116e-22,1.5088956983617988e+16,0.00023846758404309,897.224265974186
-1.5,2.657836987769911e-07,1.2734496930840222e-06,0.012818553892184666,2.0204645409419448e-06,-4.29264337136649e-08,42.809236857780014,2.6578369877699112e-17,76019129474.04794,0.0003244851006948233,1220.861558432469
