v_node,cycle,E_fire_fJ,E_burst_read_fJ,E_erase_fJ,E_relax_fJ,E_total_fJ,ID_burst_read_A,burst_read_present,fire_complete
2.050,10,43.262,0.000,2.759,-0.057,45.964,nan,False,False
2.050,11,43.264,0.000,2.769,-0.057,45.976,nan,False,False
2.050,12,48.264,0.000,2.765,-0.057,50.972,nan,False,False
2.050,13,32.109,0.000,2.790,-0.057,34.842,nan,False,False
2.050,14,20.946,0.000,2.844,-0.057,23.732,nan,False,False
2.050,15,20.949,0.000,2.834,-0.058,23.725,nan,False,False
2.050,16,20.953,0.000,2.855,-0.057,23.750,nan,False,False
2.050,17,20.945,0.000,2.680,-0.057,23.567,nan,False,False
2.050,18,143.578,0.000,2.674,-0.057,146.195,nan,False,False
2.050,19,20.933,0.000,2.690,-0.057,23.565,nan,False,False
2.050,20,20.938,0.000,2.640,-0.058,23.520,nan,False,False
