pulse_n,Id_uA_per_um
1,1.007317e-03
2,1.113318e-03
3,1.528981e-03
4,2.689503e-03
5,5.850542e-03
6,1.441286e-02
7,3.726321e-02
8,9.644392e-02
9,2.381966e-01
10,5.526470e-01
11,1.224219e+00
12,2.579778e+00
13,4.996753e+00
14,8.607725e+00
15,1.312213e+01
