Vg_V,Id_erased_uA_um,Id_programmed_uA_um
-1.0,2.840379e-04,2.965468e-04
-0.75,6.439315e-04,1.185460e-04
-0.5,5.356225e-04,4.991776e-05
-0.25,8.147141e-05,1.081730e-01
0.0,9.407478e-03,2.951047e+01
0.25,2.560771e+00,7.200402e+01
0.5,5.883859e+01,9.273516e+01
0.75,8.421240e+01,1.022698e+02
1.0,9.650465e+01,1.083681e+02
