Vg_V,Id_erased_uA_um,Id_programmed_uA_um
0.7010,8.768423e+01,8.768799e+01
0.7161,8.860001e+01,8.860361e+01
0.7312,8.945428e+01,8.945772e+01
0.7462,9.030854e+01,9.031183e+01
0.7613,9.111018e+01,9.111335e+01
0.7764,9.189429e+01,9.189732e+01
0.7915,9.266222e+01,9.266514e+01
0.8065,9.338473e+01,9.338754e+01
0.8216,9.410724e+01,9.410993e+01
0.8367,9.478747e+01,9.479007e+01
0.8518,9.545543e+01,9.545794e+01
0.8668,9.610939e+01,9.611180e+01
0.8819,9.672865e+01,9.673098e+01
0.8970,9.734790e+01,9.735015e+01
0.9121,9.793218e+01,9.793436e+01
0.9271,9.850772e+01,9.850982e+01
0.9422,9.907091e+01,9.907294e+01
0.9573,9.960695e+01,9.960892e+01
0.9724,1.001430e+02,1.001449e+02
0.9874,1.006494e+02,1.006513e+02
1.0025,1.011496e+02,1.011514e+02
1.0176,1.016388e+02,1.016405e+02
1.0327,1.021063e+02,1.021080e+02
1.0477,1.025738e+02,1.025754e+02
1.0628,1.030159e+02,1.030175e+02
1.0779,1.034535e+02,1.034550e+02
1.0930,1.038812e+02,1.038827e+02
1.1080,1.042914e+02,1.042929e+02
1.1231,1.047016e+02,1.047030e+02
1.1382,1.050898e+02,1.050912e+02
1.1533,1.054748e+02,1.054761e+02
1.1683,1.058508e+02,1.058521e+02
1.1834,1.062126e+02,1.062139e+02
1.1985,1.065745e+02,1.065757e+02
1.2136,1.069170e+02,1.069182e+02
1.2286,1.072574e+02,1.072586e+02
1.2437,1.075896e+02,1.075908e+02
1.2588,1.079102e+02,1.079113e+02
1.2739,1.082308e+02,1.082319e+02
1.2889,1.085344e+02,1.085355e+02
1.3040,1.088367e+02,1.088377e+02
1.3191,1.091315e+02,1.091325e+02
1.3342,1.094168e+02,1.094178e+02
1.3492,1.097020e+02,1.097030e+02
1.3643,1.099724e+02,1.099733e+02
1.3794,1.102419e+02,1.102428e+02
1.3945,1.105046e+02,1.105055e+02
1.4095,1.107595e+02,1.107604e+02
1.4246,1.110144e+02,1.110152e+02
1.4397,1.112560e+02,1.112568e+02
1.4548,1.114972e+02,1.114981e+02
1.4698,1.117323e+02,1.117331e+02
1.4849,1.119609e+02,1.119617e+02
1.5000,1.121895e+02,1.121903e+02
