condition,macro-F1
Nominal,0.7536269316593286
250 K,0.7392846539369725
350 K,0.7661074552907523
D2D,0.7243133745735487
C2C,0.7291891380093926
D2D+C2C,0.7240531577723662
Ret −0.96%,0.7210964217090052
Ret −10%,0.7404321966063254
