epoch,fr_hz
0,52.01519057004052
1,24.536138658525836
2,23.124198229013704
3,21.994044577089426
4,24.652432516950036
5,26.699209221859853
6,24.89576607009247
7,27.039845920668007
8,29.627614303207768
9,29.619248865934885
10,31.035551275756134
11,30.72817008324476
12,34.96502219892892
13,39.72162188837389
14,37.12005399965121
15,36.28660810490037
16,36.36168563987995
17,39.48875565671668
18,44.2523275002092
19,40.635282755848735
20,38.80640984814435
21,36.30761598695017
22,35.98464260705815
23,36.6958952871194
24,36.69606536167164
25,36.52759136698826
26,36.30807024976103
27,36.491385086551425
28,36.764831054796254
29,36.959031307640196
30,36.41127313851828
31,36.286753293638675
32,36.224814178997185
33,36.1868816225138
34,35.97311518858185
35,36.047139138143415
36,35.56028403436259
37,35.66277812871981
38,35.53359419232873
39,35.716430654146556
40,35.85337470939847
41,36.008224945900984
42,36.01731162048089
43,36.1986212795898
44,35.945123160874694
45,35.82322032366169
46,36.15132353371769
47,36.2671147760656
48,36.30084936651617
49,36.0206554744333
50,35.95333663995213
51,35.95834694084399
52,35.9796210882087
53,36.0464423353532
54,35.95265853375786
55,36.023254043388036
56,35.910576880275265
57,36.079650068623735
58,35.860892417222004
59,35.336389074158475
60,35.4717098780547
61,35.764164482001725
62,35.73995251917209
63,35.55078590572948
64,35.571793529895174
65,35.64530235600246
66,35.36050458834134
67,35.34573002244346
68,35.39518419501129
69,34.93839295965437
70,35.17666224966073
71,34.91546513061228
72,34.775613561275094
73,34.7366749989869
