timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
538,0.8551826,0.0,1.0665526,0.090435065,1.0168344
539,0.8543278,0.0,1.0654866,0.090344675,1.015818
540,0.8534739,0.0,1.0644215,0.090254374,1.0148027
541,0.9693241,0.0,1.0633576,0.09016416,1.0137883
542,0.96835524,0.0,1.0622947,0.09007404,1.0127751
543,0.9673874,0.0,1.0612329,0.08998401,1.0117627
544,0.9664205,0.0,1.0601722,0.089894064,1.0107515
545,0.9654545,0.0,1.0591125,0.08980422,1.0097412
546,0.9644895,0.0,1.058054,0.08971446,1.008732
547,0.9635255,0.0,1.0569965,0.08962479,1.0077237
548,0.96256244,0.0,1.05594,0.089535214,1.0067165
549,0.96160036,0.0,1.0548846,0.089445725,1.0057102
550,0.96063924,0.0,1.0538301,0.089356326,1.0047051
551,0.95967907,0.0,1.0527768,0.089267015,1.0037009
552,0.95871985,0.0,1.0517246,0.089177795,1.0026976
553,0.9577616,0.0,1.0506734,0.08908866,1.0016954
554,0.9568043,0.0,1.0496233,0.08899962,1.0006942
555,1.0725511,0.0,1.0485741,0.08891067,0.99969393
556,1.0714791,0.0,1.047526,0.0888218,0.9986947
557,1.0704081,0.0,1.046479,0.08873302,0.9976965
558,1.0693382,0.0,1.045433,0.088644326,0.99669933
559,1.0682694,0.0,1.0443882,0.08855572,0.9957031
560,1.0672016,0.0,1.0433443,0.08846721,0.9947079
561,1.0661349,0.0,1.0423014,0.08837879,0.9937137
562,1.1817101,0.0,1.0412596,0.08829045,0.9927204
563,1.180529,0.0,1.040219,0.08820221,0.9917282
564,1.1793491,0.0,1.0391792,0.088114046,0.99073696
565,1.1781703,0.0,1.0381405,0.08802597,0.9897467
566,1.1769928,0.0,1.0371029,0.08793799,0.98875743
567,1.1758164,0.0,1.0360663,0.087850094,0.9877692
568,1.1746411,0.0,1.0350307,0.08776229,0.9867819
569,1.173467,0.116703264,1.0339962,0.08767457,0.9857956
570,1.1722941,0.11658662,1.0329627,0.08758694,1.1015124
571,1.2875398,0.11647009,1.0319302,0.087499395,1.1004114
