class,Se,+P,F1
N,0.9064327485380117,0.96875,0.9365558912386707
F,0.868421052631579,0.5892857142857143,0.7021276595744681
SVEB,0.475,0.76,0.5846153846153846
VEB,0.8275862068965517,0.7578947368421053,0.7912087912087912
