node,anchored_max_decades,anchored_sd_decades,mean_shift_decades,uncal_acc,gain_acc,cal_acc
v_01,0.2662687887115968,0.1051518518981643,-0.2249030678283556,0.15178571428571427,0.8303571428571429,0.8154761904761905
v_02,0.2197180026047283,0.0855438567537512,-0.1790589782574262,0.3630952380952381,0.8214285714285714,0.8303571428571429
v_03,0.1678621830380274,0.0683607860171632,-0.157212463707887,0.6339285714285714,0.8273809523809523,0.8273809523809523
v_04,0.5057687349670943,0.1641208689825458,0.3934223789103682,0.6636904761904762,0.7083333333333334,0.8244047619047619
v_05,0.4766117051071497,0.1489012276479912,0.461414021479306,0.6398809523809523,0.7113095238095238,0.8482142857142857
v_06,0.9042303495119282,0.2939321492063443,0.9350866483041588,0.20238095238095238,0.2857142857142857,0.8333333333333334
v_07,0.9213021973101512,0.2990609282117561,0.9801808475248102,0.22023809523809523,0.29464285714285715,0.8452380952380952
v_08,0.923541717829052,0.2998374473307142,1.006604012333748,0.19940476190476192,0.24404761904761904,0.8214285714285714
v_09,0.3135056631657388,0.1455282232706553,-0.6171501295058053,0.2648809523809524,0.7916666666666666,0.8422619047619048
v_10,0.1686122971524921,0.0918859264007501,-0.5560853274491824,0.13095238095238096,0.7738095238095238,0.7976190476190477
v_11,0.6765091329302462,0.2222918743855525,0.5896041582109567,0.5029761904761905,0.5833333333333334,0.8452380952380952
v_12,0.6579414544986744,0.2087155594731042,0.6554721802686422,0.4791666666666667,0.44047619047619047,0.8214285714285714
v_13,0.647940124688795,0.2427569948773087,-0.9711194658472404,0.06845238095238096,0.7559523809523809,0.8422619047619048
v_14,0.5702117325057674,0.2151119245393081,-0.9343436757162598,0.11904761904761904,0.7797619047619048,0.8333333333333334
v_15,0.5094806124592193,0.1938285312405709,-0.9179504391061316,0.11904761904761904,0.7886904761904762,0.7976190476190477
v_16,0.411974891802114,0.1746750522936367,-0.3872034506071943,0.12797619047619047,0.7886904761904762,0.8601190476190477
v_17,0.2883490881382836,0.1256574498006083,-0.3251228825844902,0.13392857142857142,0.7946428571428571,0.8303571428571429
v_18,0.5437532929820194,0.1976137962238714,0.2153319436966398,0.6964285714285714,0.7827380952380952,0.8005952380952381
v_19,0.5102958132093225,0.1810883018635057,0.2591712374254659,0.7708333333333334,0.7559523809523809,0.8184523809523809
v_20,0.4737708428483503,0.1640578328777581,0.2814925115391654,0.7648809523809523,0.7886904761904762,0.8422619047619048
