epoch,accuracy,macro_f1
0,0.5089285714285714,0.16863905325443787
1,0.20238095238095238,0.20568206902326147
2,0.46726190476190477,0.4753881039595325
3,0.5982142857142857,0.4419634988426934
4,0.6398809523809523,0.5101466795213142
5,0.5654761904761905,0.3198409875467802
6,0.6160714285714286,0.39530217951059704
7,0.6607142857142857,0.49050120804634156
8,0.6904761904761905,0.5792650918635172
9,0.6994047619047619,0.6345306513409961
10,0.6875,0.625148465490648
11,0.7142857142857143,0.6364071794432014
12,0.5684523809523809,0.5189081179697228
13,0.3244047619047619,0.36799465240641716
14,0.6041666666666666,0.48560152874709206
15,0.6785714285714286,0.5474836203624864
16,0.7023809523809523,0.5772089045129075
17,0.47619047619047616,0.4498891757220869
18,0.5982142857142857,0.5070596843571724
19,0.7083333333333334,0.5889616806118781
20,0.6726190476190477,0.6064337920097203
21,0.7678571428571429,0.6782895145751756
22,0.7708333333333334,0.678640248749345
23,0.7380952380952381,0.6391737709955592
24,0.7470238095238095,0.6479551333114043
25,0.7916666666666666,0.6837442744357638
26,0.7053571428571429,0.6089865547930025
27,0.8035714285714286,0.6945589035647751
28,0.7886904761904762,0.7134332151986986
29,0.7976190476190477,0.7029304352510415
30,0.7827380952380952,0.6799382716049382
31,0.8095238095238095,0.7247549229635469
32,0.7678571428571429,0.6585327547268073
33,0.8095238095238095,0.71939779254054
34,0.7767857142857143,0.6574331550802139
35,0.7976190476190477,0.7118786813664235
36,0.7946428571428571,0.6912235773312119
37,0.8184523809523809,0.7079904303888751
38,0.8005952380952381,0.7138793085047868
39,0.7797619047619048,0.6742977932054268
40,0.8214285714285714,0.7450201127009226
41,0.7976190476190477,0.7118263277940697
42,0.8244047619047619,0.733423852718421
43,0.7857142857142857,0.6792613636363636
44,0.8035714285714286,0.6840586827219333
45,0.8095238095238095,0.7287533068783069
46,0.8065476190476191,0.7015943350044732
47,0.8184523809523809,0.7499144991272203
48,0.8214285714285714,0.753319520643909
49,0.8035714285714286,0.7205626451984837
50,0.8184523809523809,0.7463432250625317
51,0.8392857142857143,0.7727655460752152
52,0.8065476190476191,0.7234626532269975
53,0.8303571428571429,0.7461126485711695
54,0.8065476190476191,0.6968796089569865
55,0.8303571428571429,0.7475441444208685
56,0.8333333333333334,0.768260735054622
57,0.8571428571428571,0.7925246782743076
58,0.8184523809523809,0.7421290377781039
59,0.8273809523809523,0.7470813280986153
60,0.8273809523809523,0.7398644639608496
61,0.8095238095238095,0.7251221399668077
62,0.8333333333333334,0.756655214904156
63,0.8184523809523809,0.7412872604448693
64,0.8333333333333334,0.7621492014756447
65,0.8303571428571429,0.7709375
66,0.8214285714285714,0.7467718012917511
67,0.8363095238095238,0.7539394550419983
68,0.8244047619047619,0.7474056726556753
69,0.8511904761904762,0.7817497055854914
70,0.8422619047619048,0.7652283061876918
71,0.8244047619047619,0.7588044652056749
72,0.8065476190476191,0.7254754397170909
73,0.8333333333333334,0.7621509207175501
