node,gmax_ratio,uncal_acc,uncal_f1,cal_acc,cal_f1,gain_acc,gain_f1
v_01,0.45032844964968605,0.15178571428571427,0.1289189770786869,0.8154761904761905,0.7263267025229619,0.8303571428571429,0.7639982670646
v_02,0.531031320220071,0.3630952380952381,0.33942421869366846,0.8303571428571429,0.7576906297303617,0.8214285714285714,0.7452325561456555
v_03,0.5961691077956391,0.6339285714285714,0.5391695268589086,0.8273809523809523,0.7519747701596213,0.8273809523809523,0.7515669235243303
v_04,1.2054366706168125,0.6636904761904762,0.5771367772624376,0.8244047619047619,0.7270107910352444,0.7083333333333334,0.5876414787145647
v_05,1.4310666852613205,0.6398809523809523,0.5654153715399618,0.8482142857142857,0.7685816907428635,0.7113095238095238,0.6073272086204503
v_06,2.1235552313024213,0.20238095238095238,0.1890877611206035,0.8333333333333334,0.727900697987356,0.2857142857142857,0.3106527370703851
v_07,2.262048933716494,0.22023809523809523,0.17626997369231343,0.8452380952380952,0.7738682980631135,0.29464285714285715,0.32088865180970444
v_08,2.362441523169895,0.19940476190476192,0.14675531388273283,0.8214285714285714,0.7451184597946998,0.24404761904761904,0.2763052641018743
v_09,0.17149291102093475,0.2648809523809524,0.15628957365977206,0.8422619047619048,0.7725945808541423,0.7916666666666666,0.7056829908997091
v_10,0.23685015368644594,0.13095238095238096,0.09534086091949592,0.7976190476190477,0.6895936613988289,0.7738095238095238,0.6957293976884558
v_11,1.445193434138635,0.5029761904761905,0.46317153431575553,0.8452380952380952,0.7654258241758242,0.5833333333333334,0.5127227851143493
v_12,1.671774493743387,0.4791666666666667,0.4706867214012793,0.8214285714285714,0.738690014049098,0.44047619047619047,0.4258627657065157
v_13,0.06280682086392371,0.06845238095238096,0.03484848484848485,0.8422619047619048,0.7697247391478144,0.7559523809523809,0.6722018519627334
v_14,0.0750798150558289,0.11904761904761904,0.05449591280653951,0.8333333333333334,0.7561758227755935,0.7797619047619048,0.6937832992829388
v_15,0.08538023955573548,0.11904761904761904,0.053475935828877004,0.7976190476190477,0.7091407672961434,0.7886904761904762,0.6771234582123318
v_16,0.25494704066888646,0.12797619047619047,0.08792125458792124,0.8601190476190477,0.7785319470948214,0.7886904761904762,0.6896537425147646
v_17,0.34552151909367584,0.13392857142857142,0.09388759388759389,0.8303571428571429,0.7423667674465828,0.7946428571428571,0.7111913067721343
v_18,0.8126530898905926,0.6964285714285714,0.6201794950894534,0.8005952380952381,0.7259216130318977,0.7827380952380952,0.6865037712819939
v_19,0.9219281645710634,0.7708333333333334,0.6579163375427964,0.8184523809523809,0.7246258147897493,0.7559523809523809,0.6533160997845657
v_20,1.0062261268162032,0.7648809523809523,0.6543385118017826,0.8422619047619048,0.7380732766427016,0.7886904761904762,0.6791807805570176
