epoch,loss
0,3.078836005467635
1,1.4850423886225774
2,1.3934216591028066
3,1.3464790215859046
4,1.2527789106735816
5,1.1528924978696382
6,1.1100709896821241
7,1.1492445835700402
8,1.11271134018898
9,1.0432285414292262
10,1.0169795682797065
11,0.9616012550317324
12,1.1897625418809743
13,2.2827347425314097
14,1.7493969752238347
15,1.3772497543921838
16,1.2364905339020948
17,1.5721147931539095
18,1.8859788867143483
19,2.034147936564225
20,1.3435619473457336
21,1.1596242762528932
22,1.0576970416765947
23,1.1342553588060231
24,1.116167318362456
25,1.1229686324413006
26,1.1032939690809984
27,1.0760066279998193
28,1.0659656478808477
29,1.039515570952342
30,1.0160837700733771
31,1.005009582409492
32,0.9932527656738575
33,1.052100243476721
34,1.0301620226639967
35,1.0420977358634655
36,1.00520154604545
37,0.9524155809329107
38,0.9945798722597269
39,0.9965166380772223
40,0.9882318148246179
41,0.9866128861904144
42,0.982111774958097
43,0.9505099860521463
44,0.9917993293358729
45,1.003562092781067
46,0.9732805582193228
47,1.0129299255517812
48,0.9753386378288269
49,0.9540264423076923
50,0.9679273894199958
51,0.9743530245927664
52,0.9379219733751737
53,0.970204085111618
54,0.9522569729731634
55,0.9670051473837632
56,0.9544854301672715
57,0.9662509423035842
58,0.9285252552766067
59,0.9367773028520437
60,0.9418684519254245
61,0.9509877149875348
62,0.9576039566443517
63,0.9277575084796319
64,0.9434698453316321
65,0.9340016635564657
66,0.9172838582442358
67,0.9047469382102673
68,0.8910387731515444
69,0.8892240363817948
70,0.8802646925816169
71,0.8647893208723801
72,0.8717305224675399
73,0.8982694378265967
