node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,6.4e-07,19.9094,8.017289840809115,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-07,20.15109,8.114615665877933,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-07,20.15109,8.114615665877933,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-07,20.37877,8.20629982265591,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-07,20.37877,8.20629982265591,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-07,20.59276,8.29247117151799,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-07,20.59276,8.29247117151799,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.2e-07,20.79343,8.373278707272718,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.2e-07,20.79343,8.373278707272718,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-07,20.98112,8.448859344068476,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-07,20.98112,8.448859344068476,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-07,21.1562,8.519362076713803,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-07,21.1562,8.519362076713803,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-07,21.31904,8.584935900017236,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-07,21.31904,8.584935900017236,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-06,21.46999,8.645721755013875,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-06,21.46999,8.645721755013875,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-06,21.46999,8.645721755013875,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-06,21.46999,8.645721755013875,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-06,22.3375,8.99505820462061,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-06,22.3375,8.99505820462061,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-06,22.30228,8.980875509602514,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-06,22.30228,8.980875509602514,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-06,21.70209,8.739185795720868,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-06,21.70209,8.739185795720868,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-06,20.83529,8.390135255071058,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-06,20.83529,8.390135255071058,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-06,19.82304,7.982513647119084,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-06,19.82304,7.982513647119084,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-06,18.74869,7.5498850726530895,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-06,18.74869,7.5498850726530895,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-06,17.66846,7.114888688797362,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-06,17.66846,7.114888688797362,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-06,16.61227,6.689572940609863,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-06,16.61227,6.689572940609863,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.05e-06,15.59799,6.281133874654292,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.05e-06,15.59799,6.281133874654292,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-06,14.63073,5.891629230043152,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-06,14.63073,5.891629230043152,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.95e-06,13.71371,5.522355664299394,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.95e-06,13.71371,5.522355664299394,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.4e-06,12.8489,5.174106474106313,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.4e-06,12.8489,5.174106474106313,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-06,12.03722,4.847252133041894,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-06,12.03722,4.847252133041894,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-06,11.27873,4.541816802426441,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-06,11.27873,4.541816802426441,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-06,10.57273,4.257518600189747,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-06,10.57273,4.257518600189747,settling,2.483308,0.6215499648050137
