t_us,phase,pulse,Vg_V,Py_uC_cm2,Qg_fC,abs_Ig_A
0.0,write,1,2.0,0.31441685704663097,0.22857153066149768,4.069541777346704e-07
0.05000000000000037,write,1,2.0,0.315715219534328,0.2285738389669925,2.3717886818008435e-12
0.0999999999999999,write,1,2.0,0.31654136304426,0.22847191098426697,1.92694739832071e-12
0.15000000000000024,write,1,2.0,0.316952824495362,0.22839301847703614,1.4659435936944888e-12
0.1999999999999998,write,1,2.0,0.31694539476266903,0.228337596885131,9.940229640296556e-13
0.25000000000000017,write,1,2.0,0.31651348829876097,0.22830615042617283,5.125060319111506e-13
0.29999999999999966,write,1,2.0,0.315653273394018,0.22829908118739278,2.3444660045066705e-14
0.30100000000000016,read,1,0.0,0.31563398183847796,-0.11388342874184113,1.1314359933721606e-07
0.3034999999999997,read,1,0.0,0.31558574338995,-0.11702978858149543,2.1604027254505605e-10
0.3060000000000001,read,1,0.0,0.31553755809587297,-0.11725924260612869,7.549217259886269e-11
0.30849999999999966,read,1,0.0,0.31548942552896103,-0.11741583126987952,6.152995464975513e-11
0.31100000000000005,read,1,0.0,0.315441345428787,-0.11756120206582965,5.81483183800443e-11
0.31350000000000044,read,1,0.0,0.315393314127597,-0.11770108861089233,5.595461802502961e-11
0.316,read,1,0.0,0.315345331978375,-0.11783615345222323,5.402593653256376e-11
0.31850000000000045,read,1,0.0,0.315297399318764,-0.11796664894586241,5.2198197455500037e-11
0.32099999999999995,read,1,0.0,0.315249516471592,-0.11809274901964477,5.0440029512884227e-11
0.3235000000000004,read,1,0.0,0.31520168374533203,-0.11821460773510901,4.874348618576772e-11
0.3259999999999999,read,1,0.0,0.315153901434551,-0.11833237011286903,4.710495110408899e-11
0.32850000000000035,read,1,0.0,0.315106169820335,-0.11844617454904562,4.552177447057196e-11
0.3309999999999999,read,1,0.0,0.31505848917071405,-0.11855615368939544,4.3991656139884566e-11
0.3320000000000004,write,2,2.0,0.315039406588205,0.2281683192537473,4.0694554018596867e-07
0.3819999999999999,write,2,2.0,0.313840072183506,0.2283119563895975,4.807316523167208e-13
0.4320000000000003,write,2,2.0,0.311834677089839,0.22835947800575407,1.1471548906960542e-12
0.48199999999999976,write,2,2.0,0.308482571660869,0.22844791178423177,1.9670398198919113e-12
0.5320000000000001,write,2,2.0,0.303803699676059,0.22857798322200995,2.80352171493779e-12
0.5819999999999996,write,2,2.0,0.297811690556904,0.2287507526748805,3.662423988395812e-12
0.632,write,2,2.0,0.29052463566323,0.22896733184567047,4.542522258753057e-12
0.6329999999999997,read,2,0.0,0.290372818251683,-0.11377300718514803,1.132378858173993e-07
0.6355000000000001,read,2,0.0,0.28999343393430704,-0.1169253406815427,2.1516794330744285e-10
0.6380000000000005,read,2,0.0,0.289614410092232,-0.11715165756532332,7.418445700839338e-11
0.6405000000000001,read,2,0.0,0.28923573788700696,-0.11730483994703197,6.01619599311721e-11
0.6430000000000005,read,2,0.0,0.28885741247047,-0.11744672196183277,5.6752805920174604e-11
0.6455,read,2,0.0,0.288479408548563,-0.11758306281395389,5.453634084849609e-11
0.6480000000000004,read,2,0.0,0.288101726221377,-0.11771452923459781,5.2586568257540195e-11
0.6505,read,2,0.0,0.287724365574356,-0.11784137581000266,5.0738630161916225e-11
