pulse,t_ns,dPy_uC_cm2,dPy_total_uC_cm2
1,0.0,0.0,0.001236416347387026
1,50.00000000000037,0.0012983624876970468,0.001236416347387026
1,99.99999999999989,0.0021245059976290337,0.001236416347387026
1,150.00000000000026,0.0025359674487310246,0.001236416347387026
1,199.99999999999977,0.0025285377160380595,0.001236416347387026
1,250.00000000000014,0.002096631252129999,0.001236416347387026
1,299.99999999999966,0.001236416347387026,0.001236416347387026
2,0.0,0.0,-0.024514770924975005
2,49.999999999999524,-0.0011993344046989929,-0.024514770924975005
2,99.99999999999989,-0.0032047294983660324,-0.024514770924975005
2,149.9999999999994,-0.006556834927335997,-0.024514770924975005
2,199.99999999999977,-0.011235706912145982,-0.024514770924975005
2,249.9999999999993,-0.01722771603130102,-0.024514770924975005
2,299.99999999999966,-0.024514770924975005,-0.024514770924975005
3,0.0,0.0,-0.067201262633313
3,50.00000000000037,-0.00799719574345098,-0.067201262633313
3,99.99999999999989,-0.017450859456418,-0.067201262633313
3,150.00000000000026,-0.028137896228909,-0.067201262633313
3,199.99999999999977,-0.04001551308261697,-0.067201262633313
3,250.00000000000014,-0.053049020844469996,-0.067201262633313
3,300.0000000000005,-0.067201262633313,-0.067201262633313
4,0.0,0.0,-0.10204791523492099
4,49.999999999999524,-0.014451147853350998,-0.10204791523492099
4,99.99999999999989,-0.03002363821373999,-0.10204791523492099
4,149.9999999999994,-0.04661878641554498,-0.10204791523492099
4,199.99999999999977,-0.06418397768251202,-0.10204791523492099
4,250.00000000000014,-0.082675255172592,-0.10204791523492099
4,299.99999999999966,-0.10204791523492099,-0.10204791523492099
5,0.0,0.0,-0.126675093052592
5,50.00000000000037,-0.0193923981335707,-0.126675093052592
5,99.99999999999989,-0.039378149273079206,-0.126675093052592
5,150.00000000000026,-0.06014894672242581,-0.126675093052592
5,200.00000000000063,-0.081651852148878,-0.126675093052592
5,250.00000000000014,-0.10384205501898155,-0.126675093052592
5,300.0000000000005,-0.126675093052592,-0.126675093052592
6,0.0,0.0,-0.14156682070111962
6,49.999999999999524,-0.022732892257154892,-0.14156682070111962
6,99.99999999999989,-0.045526179731841,-0.14156682070111962
6,150.00000000000026,-0.0688014909732276,-0.14156682070111962
6,199.99999999999977,-0.09259398339237263,-0.14156682070111962
6,250.00000000000014,-0.1168625069407716,-0.14156682070111962
6,299.99999999999966,-0.14156682070111962,-0.14156682070111962
7,0.0,0.0,-0.148383192304178
7,50.00000000000037,-0.024513371792316996,-0.148383192304178
7,100.00000000000074,-0.04896919986187903,-0.148383192304178
7,150.00000000000026,-0.07338616254765001,-0.148383192304178
7,200.00000000000063,-0.09808973037497404,-0.148383192304178
7,250.00000000000014,-0.123100282465959,-0.148383192304178
7,300.0000000000005,-0.148383192304178,-0.148383192304178
8,0.0,0.0,-0.14923363720575206
8,50.00000000000037,-0.025027976513178007,-0.14923363720575206
8,99.99999999999989,-0.049977875113601966,-0.14923363720575206
8,150.00000000000026,-0.07483973696790702,-0.14923363720575206
8,199.99999999999977,-0.099610653283764,-0.14923363720575206
8,250.00000000000014,-0.12434586155014099,-0.14923363720575206
8,299.99999999999966,-0.14923363720575206,-0.14923363720575206
9,0.0,0.0,-0.14612539847453598
9,49.999999999999524,-0.024591334665994946,-0.14612539847453598
9,99.99999999999905,-0.04909435997907308,-0.14612539847453598
9,150.00000000000026,-0.073501458900468,-0.14612539847453598
9,199.99999999999977,-0.09781029304380506,-0.14612539847453598
9,249.9999999999993,-0.12201889119948295,-0.14612539847453598
9,299.9999999999988,-0.14612539847453598,-0.14612539847453598
10,0.0,0.0,-0.1410068475650611
10,49.999999999999524,-0.023745320339733977,-0.1410068475650611
10,100.00000000000074,-0.047398164386238006,-0.1410068475650611
10,150.00000000000026,-0.070952536405124,-0.1410068475650611
10,199.99999999999977,-0.09440651060801697,-0.1410068475650611
10,249.9999999999993,-0.117758456063493,-0.1410068475650611
10,300.0000000000005,-0.1410068475650611,-0.1410068475650611
11,0.0,0.0,-0.13582239294134602
11,50.000000000001215,-0.022881993750633045,-0.13582239294134602
11,100.00000000000074,-0.045670316268421995,-0.13582239294134602
11,150.00000000000026,-0.06836005278801205,-0.13582239294134602
11,199.99999999999977,-0.090949560031232,-0.13582239294134602
11,250.000000000001,-0.11343744028910197,-0.13582239294134602
11,300.0000000000005,-0.13582239294134602,-0.13582239294134602
12,0.0,0.0,-0.13063815986409022
12,49.999999999999524,-0.022014342024980094,-0.13063815986409022
12,99.99999999999905,-0.043935880328160204,-0.13063815986409022
12,149.99999999999855,-0.06576039363385999,-0.13063815986409022
12,199.99999999999977,-0.08748642517873018,-0.13063815986409022
12,249.9999999999993,-0.1091127315629401,-0.13063815986409022
