V_pgm,pulse,I_uA_um,baseline_uA_um,ratio_to_own_baseline,threshold_uA_um,N_fire
2.0,0,0.008209538082760466,0.008209538082760466,1.0,0.1,9
2.0,1,0.0006384404182378297,0.008209538082760466,0.0777681291933484,0.1,9
2.0,2,0.0007056238430904255,0.008209538082760466,0.08595171079992832,0.1,9
2.0,3,0.000969072541922536,0.008209538082760466,0.11804227377390816,0.1,9
2.0,4,0.0017046144017986277,0.008209538082760466,0.20763828422675998,0.1,9
2.0,5,0.003708090133598382,0.008209538082760466,0.45168072749246974,0.1,9
2.0,6,0.009134909876870448,0.008209538082760466,1.1127191060911463,0.1,9
2.0,7,0.023617524094664822,0.008209538082760466,2.8768395805679003,0.1,9
2.0,8,0.06112642993558957,0.008209538082760466,7.445781884360994,0.1,9
2.0,9,0.15096966556388286,0.008209538082760466,18.3895444593783,0.1,9
2.0,10,0.3502692316071836,0.008209538082760466,42.666131526051124,0.1,9
2.0,11,0.7759136449411695,0.008209538082760466,94.51367873797204,0.1,9
2.0,12,1.6350702686404865,0.008209538082760466,199.16714584393432,0.1,9
2.0,13,3.1669558407770855,0.008209538082760466,385.7654119940684,0.1,9
2.0,14,5.455600557698488,0.008209538082760466,664.5441561632949,0.1,9
2.0,15,8.316844674069156,0.008209538082760466,1013.0709657750449,0.1,9
