t_fe_nm,window,id_off_uA_um,id_on_uA_um,v_op_V,igain,qg_C
5,84656.0,1.385492957746479e-09,0.0001173169014084,2.5,0.917,4.0240140845070433e-16
7,96240.3,1.196619718309859e-09,0.0001151619718309,2.5,0.907,3.444084507042254e-16
10,47503.5,2.359647887323944e-09,0.0001121197183098,3.0,0.856,3.692535211267606e-16
12,21139.2,5.211760563380282e-09,0.0001101549295774,3.0,0.851,3.29387323943662e-16
