node,mean_shift_decades,residual_sd_decades,residual_range_decades,anchored_sd_decades,anchored_max_decades
v_01,-0.22490306782835567,0.10515185189816438,0.2923444744935908,0.10515185189816438,0.26626878871159687
v_02,-0.17905897825742628,0.08554385675375124,0.23955779133349597,0.08554385675375124,0.2197180026047283
v_03,-0.15721246370788702,0.06836078601716322,0.18399418269067147,0.06836078601716322,0.16786218303802747
v_04,0.3934223789103682,0.16412086898254588,0.5057687349670943,0.16412086898254588,0.5057687349670943
v_05,0.46141402147930605,0.14890122764799124,0.4766117051071497,0.14890122764799127,0.4766117051071497
v_06,0.9350866483041587,0.29393214920634436,0.9042303495119282,0.29393214920634436,0.9042303495119282
v_07,0.9801808475248102,0.2990609282117561,0.9213021973101512,0.2990609282117561,0.9213021973101512
v_08,1.006604012333748,0.2998374473307142,0.9235417178290519,0.2998374473307142,0.9235417178290519
v_09,-0.6171501295058053,0.1455282232706553,0.3678943785304417,0.1455282232706553,0.3135056631657388
v_10,-0.5560853274491824,0.09188592640075012,0.23883387257984656,0.09188592640075013,0.16861229715249215
v_11,0.5896041582109567,0.2222918743855525,0.6765091329302462,0.2222918743855525,0.6765091329302462
v_12,0.6554721802686422,0.2087155594731042,0.6579414544986744,0.2087155594731042,0.6579414544986744
v_13,-0.9711194658472404,0.24275699487730873,0.6888432168061254,0.2427569948773087,0.647940124688795
v_14,-0.9343436757162598,0.2151119245393081,0.6208750551774496,0.21511192453930814,0.5702117325057674
v_15,-0.9179504391061317,0.1938285312405709,0.5711281119602378,0.1938285312405709,0.5094806124592193
v_16,-0.38720345060719435,0.17467505229363678,0.4501156765925971,0.17467505229363678,0.411974891802114
v_17,-0.3251228825844902,0.1256574498006083,0.33570240581660615,0.1256574498006083,0.28834908813828364
v_18,0.21533194369663988,0.19761379622387146,0.5437532929820194,0.19761379622387149,0.5437532929820194
v_19,0.2591712374254659,0.1810883018635057,0.5102958132093225,0.18108830186350572,0.5102958132093225
v_20,0.28149251153916544,0.1640578328777582,0.47377084284835036,0.16405783287775816,0.47377084284835036
