t_ox_nm,eval,window,id_off_uA_um,id_on_uA_um,v_op_V,igain,qg_C
0.5,fixed4V,879.562,6.585211267605635e-08,5.7910563380281696e-05,4.0,0.531,7.016197183098592e-16
0.5,subcoercive,1577.779,6.585211267605635e-08,0.0001038802816901,1.5,0.935,1.1972535211267607e-16
1.0,fixed4V,3997.083,1.8063380281690144e-08,7.219014084507043e-05,4.0,0.695,5.50330985915493e-16
1.0,subcoercive,5315.437,1.8063380281690144e-08,9.602112676056338e-05,2.0,0.915,1.899507042253521e-16
1.5,fixed4V,60.716,1.3202112676056338e-06,8.017605633802818e-05,4.0,0.786,4.555140845070423e-16
1.5,subcoercive,70.152,1.3202112676056338e-06,9.259859154929578e-05,2.5,0.902,2.3431690140845074e-16
2.0,fixed4V,2.6,5.545774647887324e-05,,4.0,,
