series,overdrive_V,I_over_Ion,Vt_V,Ion_A
"TCAD, erased",-3.857173599808037,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.837173599808087,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.817173599808147,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.797173599808197,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.777173599808257,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.757173599808307,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.737173599808357,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.717173599808417,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.697173599808467,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.677173599808517,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.657173599808577,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.637173599808627,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.617173599808687,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.597173599808737,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.577173599808787,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.557173599808847,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.537173599808897,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.517173599808947,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.497173599809007,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.477173599809057,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.457173599809117,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.437173599809167,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.417173599809217,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.397173599809277,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.377173599809327,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.357173599809377,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.337173599809437,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.317173599809487,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.297173599809547,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.277173599809597,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.257173599809647,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.237173599809707,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.217173599809757,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.197173599809807,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.177173599809867,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.157173599809917,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.137173599809977,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.117173599810027,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.097173599810077,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.077173599810137,,0.35717359980803715,1.0709819098929524e-06
