Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc,branch
-0.975,-0.266447,-0.116709,-0.0833633,forward
-0.95,-0.246986,-0.113217,-0.0808694,forward
-0.925,-0.227689,-0.109783,-0.0784163,forward
-0.9,-0.208588,-0.10641,-0.0760075,forward
-0.875,-0.189722,-0.103105,-0.0736466,forward
-0.85,-0.171135,-0.0998735,-0.0713382,forward
-0.825,-0.152876,-0.0967222,-0.0690873,forward
-0.8,-0.135001,-0.0936594,-0.0668996,forward
-0.775,-0.117572,-0.0906938,-0.0647813,forward
-0.75,-0.100658,-0.0878349,-0.0627392,forward
-0.725,-0.0843289,-0.0850926,-0.0607804,forward
-0.7,-0.0686553,-0.0824767,-0.0589119,forward
-0.675,-0.0537026,-0.0799955,-0.0571397,forward
-0.65,-0.0395229,-0.0776557,-0.0554683,forward
-0.625,-0.0261482,-0.07546,-0.0539,forward
-0.6,-0.0135843,-0.0734075,-0.0524339,forward
-0.575,-0.00180964,-0.0714925,-0.0510661,forward
-0.55,0.00921935,-0.0697064,-0.0497903,forward
-0.525,0.0195577,-0.0680387,-0.0485991,forward
-0.5,0.0292583,-0.0664796,-0.0474854,forward
-0.475,0.0383583,-0.065022,-0.0464443,forward
-0.45,0.0468675,-0.0636633,-0.0454738,forward
-0.425,0.054756,-0.0624075,-0.0445768,forward
-0.4,0.0619411,-0.0612667,-0.0437619,forward
-0.375,0.0682741,-0.0602635,-0.0430454,forward
-0.35,0.0735395,-0.0594311,-0.0424508,forward
-0.325,0.0775112,-0.0588042,-0.042003,forward
-0.3,0.0801138,-0.0583939,-0.04171,forward
-0.275,0.0815767,-0.0581635,-0.0415454,forward
-0.25,0.0823241,-0.0580459,-0.0414614,forward
-0.225,0.0827157,-0.0579844,-0.0414174,forward
-0.2,0.0829537,-0.0579471,-0.0413908,forward
-0.175,0.0831298,-0.0579195,-0.0413711,forward
-0.15,0.0832818,-0.0578957,-0.0413541,forward
-0.125,0.0834247,-0.0578734,-0.0413381,forward
-0.1,0.083564,-0.0578516,-0.0413226,forward
-0.075,0.0837022,-0.05783,-0.0413071,forward
-0.05,0.0838401,-0.0578084,-0.0412917,forward
-0.025,0.0839781,-0.0577869,-0.0412763,forward
-1.02141e-14,0.0841163,-0.0577653,-0.0412609,forward
0.025,0.0842549,-0.0577436,-0.0412455,forward
0.05,0.0843939,-0.0577219,-0.0412299,forward
0.075,0.0845335,-0.0577001,-0.0412144,forward
0.1,0.0846738,-0.0576782,-0.0411987,forward
0.125,0.084815,-0.0576561,-0.041183,forward
0.15,0.0849578,-0.0576338,-0.041167,forward
0.175,0.085103,-0.0576111,-0.0411508,forward
0.2,0.085253,-0.0575877,-0.0411341,forward
0.225,0.0854132,-0.0575627,-0.0411162,forward
0.25,0.0855965,-0.057534,-0.0410957,forward
0.275,0.0858356,-0.0574966,-0.041069,forward
0.3,0.0862105,-0.0574379,-0.0410271,forward
0.325,0.0869134,-0.0573277,-0.0409483,forward
0.35,0.0883673,-0.0570995,-0.0407854,forward
0.375,0.0913459,-0.0566323,-0.0404517,forward
0.4,0.0968307,-0.0557731,-0.0398379,forward
0.425,0.105445,-0.0544267,-0.0388762,forward
0.45,0.117082,-0.0526144,-0.0375817,forward
0.475,0.131179,-0.0504286,-0.0360204,forward
0.5,0.147139,-0.0479671,-0.0342622,forward
0.525,0.164486,-0.0453069,-0.0323621,forward
0.55,0.182885,-0.0425028,-0.0303592,forward
0.575,0.2021,-0.0395931,-0.0282808,forward
0.6,0.221967,-0.0366047,-0.0261462,forward
0.625,0.242364,-0.033557,-0.0239693,forward
0.65,0.263206,-0.0304645,-0.0217603,forward
0.675,0.284424,-0.0273377,-0.0195269,forward
0.7,0.305969,-0.0241852,-0.0172751,forward
0.725,0.327798,-0.0210133,-0.0150095,forward
0.75,0.349881,-0.0178273,-0.0127338,forward
0.775,0.372191,-0.0146312,-0.0104509,forward
0.8,0.394706,-0.0114285,-0.00816321,forward
0.825,0.41741,-0.00822179,-0.00587271,forward
0.85,0.440288,-0.00501329,-0.00358092,forward
0.875,0.463329,-0.00180479,-0.00128913,forward
0.9,0.486521,0.00140222,0.00100159,forward
0.925,0.509858,0.00460649,0.00329035,forward
0.95,0.533331,0.00780698,0.00557642,forward
