Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc,branch
-1.8,0.247332,-0.511158,-0.365113,reverse
-1.825,0.2226,-0.514237,-0.367312,reverse
-1.85,0.197799,-0.517316,-0.369511,reverse
-1.875,0.172932,-0.520393,-0.371709,reverse
-1.9,0.148002,-0.523468,-0.373906,reverse
-1.925,0.12301,-0.526542,-0.376101,reverse
-1.95,0.0979585,-0.529613,-0.378295,reverse
-1.975,0.07285,-0.532683,-0.380488,reverse
-2.0,0.0476861,-0.535749,-0.382678,reverse
-2.025,0.0224685,-0.538814,-0.384867,reverse
-2.05,-0.00280111,-0.541876,-0.387054,reverse
-2.075,-0.0281213,-0.544935,-0.389239,reverse
-2.1,-0.0534906,-0.547992,-0.391423,reverse
-2.125,-0.0789076,-0.551046,-0.393604,reverse
-2.15,-0.104371,-0.554097,-0.395783,reverse
-2.175,-0.12988,-0.557145,-0.397961,reverse
-2.2,-0.155432,-0.56019,-0.400136,reverse
-2.225,-0.181028,-0.563232,-0.402309,reverse
-2.25,-0.206666,-0.566271,-0.404479,reverse
-2.275,-0.232344,-0.569307,-0.406648,reverse
-2.3,-0.258062,-0.57234,-0.408814,reverse
-2.325,-0.283819,-0.57537,-0.410979,reverse
-2.35,-0.309615,-0.578397,-0.413141,reverse
-2.375,-0.335447,-0.581421,-0.415301,reverse
-2.4,-0.361316,-0.584442,-0.417459,reverse
-2.425,-0.387221,-0.58746,-0.419614,reverse
-2.45,-0.41316,-0.590474,-0.421767,reverse
-2.475,-0.439134,-0.593486,-0.423919,reverse
-2.5,-0.46514,-0.596495,-0.426068,reverse
-2.525,-0.49118,-0.599501,-0.428215,reverse
-2.55,-0.517251,-0.602503,-0.43036,reverse
-2.575,-0.543354,-0.605503,-0.432502,reverse
-2.6,-0.569487,-0.6085,-0.434643,reverse
-2.625,-0.595651,-0.611494,-0.436781,reverse
-2.65,-0.621844,-0.614485,-0.438918,reverse
-2.675,-0.648066,-0.617473,-0.441052,reverse
-2.7,-0.674316,-0.620459,-0.443185,reverse
-2.725,-0.700594,-0.623442,-0.445315,reverse
-2.75,-0.726899,-0.626422,-0.447444,reverse
-2.775,-0.753231,-0.629399,-0.449571,reverse
-2.8,-0.779589,-0.632374,-0.451695,reverse
-2.825,-0.805972,-0.635346,-0.453818,reverse
-2.85,-0.83238,-0.638315,-0.455939,reverse
-2.875,-0.858813,-0.641282,-0.458059,reverse
-2.9,-0.885269,-0.644247,-0.460176,reverse
-2.925,-0.911748,-0.647208,-0.462292,reverse
-2.95,-0.938251,-0.650168,-0.464406,reverse
-2.975,-0.964776,-0.653125,-0.466518,reverse
-3.0,-0.991322,-0.65608,-0.468628,reverse
-3.025,-1.01789,-0.659032,-0.470737,reverse
-3.05,-1.04448,-0.661983,-0.472845,reverse
-3.075,-1.07109,-0.664931,-0.47495,reverse
-3.1,-1.09772,-0.667877,-0.477055,reverse
-3.125,-1.12437,-0.67082,-0.479157,reverse
-3.15,-1.15104,-0.673762,-0.481259,reverse
-3.175,-1.17772,-0.676702,-0.483358,reverse
-3.2,-1.20443,-0.67964,-0.485457,reverse
-3.225,-1.23115,-0.682576,-0.487554,reverse
-3.25,-1.2579,-0.68551,-0.48965,reverse
-3.275,-1.28466,-0.688442,-0.491744,reverse
-3.3,-1.31143,-0.691372,-0.493837,reverse
-3.325,-1.33822,-0.694301,-0.49593,reverse
-3.35,-1.36503,-0.697229,-0.49802,reverse
-3.375,-1.39186,-0.700154,-0.50011,reverse
-3.4,-1.41869,-0.703078,-0.502199,reverse
-3.425,-1.44555,-0.706001,-0.504286,reverse
-3.45,-1.47242,-0.708922,-0.506373,reverse
-3.475,-1.4993,-0.711842,-0.508458,reverse
-3.5,-1.5262,-0.71476,-0.510543,reverse
-3.525,-1.55311,-0.717677,-0.512627,reverse
-3.55,-1.58003,-0.720593,-0.51471,reverse
-3.575,-1.60697,-0.723508,-0.516792,reverse
-3.6,-1.63391,-0.726422,-0.518873,reverse
-3.625,-1.66087,-0.729335,-0.520953,reverse
-3.65,-1.68785,-0.732246,-0.523033,reverse
-3.675,-1.71483,-0.735157,-0.525112,reverse
-3.7,-1.74182,-0.738067,-0.527191,reverse
-3.725,-1.76883,-0.740976,-0.529268,reverse
-3.75,-1.79584,-0.743884,-0.531346,reverse
-3.775,-1.82287,-0.746791,-0.533422,reverse
-3.8,-1.8499,-0.749698,-0.535499,reverse
-3.825,-1.87694,-0.752605,-0.537575,reverse
-3.85,-1.904,-0.75551,-0.53965,reverse
-3.875,-1.93106,-0.758415,-0.541725,reverse
-3.9,-1.95813,-0.76132,-0.5438,reverse
-3.925,-1.9852,-0.764224,-0.545874,reverse
-3.95,-2.01228,-0.767128,-0.547949,reverse
-3.975,-2.03938,-0.770032,-0.550023,reverse
-4.0,-2.06647,-0.772935,-0.552097,reverse
