level,mean_log10_G_over_Gmax,half_spread_decades,spacing_to_prev_decades,overlaps_prev
1,-3.742275775353497,0.3315656339122022,nan,False
2,-3.6704258558340817,0.3501217946976891,0.07184991951941555,True
3,-3.493148215904614,0.3664284827204276,0.17727763992946777,True
4,-3.2224189209014176,0.37415988786620913,0.2707292950031963,True
5,-2.885961422912657,0.3778397673955123,0.3364574979887607,True
6,-2.5180170338001373,0.38342308503478884,0.3679443891125196,True
7,-2.147214426300417,0.3848752162235045,0.37080260749972016,True
8,-1.7892418914584653,0.3806670379761027,0.3579725348419518,True
9,-1.45016858417709,0.36813045433265035,0.3390733072813754,True
10,-1.1346196341446553,0.34083589961261296,0.31554895003243466,True
11,-0.8470468905316213,0.29798819870980114,0.287572743613034,True
12,-0.5899572094132525,0.23830634297785314,0.25708968111836883,True
13,-0.36383093803398403,0.16461875924417962,0.22612627137926844,True
14,-0.16776412269013388,0.08262616827116999,0.19606681534385015,True
15,0.0,0.0,0.16776412269013388,False
