t_us,phase,pulse,Vg_V,Py_uC_cm2,Id_uA_um,V_pgm_V,threshold_uA_um
0.0,write,1,2.0,0.31441685704663097,71.5264021247817,0.2,0.08209538082760466
0.0033333333333304778,write,1,2.0,0.314517387269561,73.7905148292979,0.2,0.08209538082760466
0.006666666666670274,write,1,2.0,0.314615883585465,73.79012933695564,0.2,0.08209538082760466
0.009999999999999905,write,1,2.0,0.31471262945269796,73.78974685456832,0.2,0.08209538082760466
0.013333333333330382,write,1,2.0,0.314807636439852,73.78936736898594,0.2,0.08209538082760466
0.016666666666670178,write,1,2.0,0.314900901098688,73.78899089061268,0.2,0.08209538082760466
0.01999999999999981,write,1,2.0,0.31499242001303596,73.78861743014579,0.2,0.08209538082760466
0.021000000000000307,read,1,0.0,0.315019693236114,0.6247501124070459,0.2,0.08209538082760466
0.02349999999999986,read,1,0.0,0.315087678485073,0.0014866407924091817,0.2,0.08209538082760466
0.02600000000000026,read,1,0.0,0.31515541154049503,0.000719126196637266,0.2,0.08209538082760466
0.02849999999999981,read,1,0.0,0.31522290252408003,0.0006527188997404495,0.2,0.08209538082760466
0.03100000000000021,read,1,0.0,0.315290157002471,0.0006448495009708303,0.2,0.08209538082760466
0.033499999999999766,read,1,0.0,0.315357198027243,0.0006435092458517154,0.2,0.08209538082760466
0.036000000000000164,read,1,0.0,0.315424026402852,0.0006435788276444334,0.2,0.08209538082760466
0.038499999999999715,read,1,0.0,0.315490642918789,0.0006441454107212023,0.2,0.08209538082760466
0.04100000000000011,read,1,0.0,0.315557048350056,0.0006450309491583845,0.2,0.08209538082760466
0.04349999999999967,read,1,0.0,0.315623243457591,0.0006461861973597702,0.2,0.08209538082760466
0.04600000000000007,read,1,0.0,0.315689228988674,0.0006475850007387425,0.2,0.08209538082760466
0.048500000000000466,read,1,0.0,0.31575500567731696,0.0006492058818155488,0.2,0.08209538082760466
0.05100000000000002,read,1,0.0,0.31582057424465204,0.0006510288465888021,0.2,0.08209538082760466
0.05199999999999967,write,2,2.0,0.31584676375372295,71.52060299069859,0.2,0.08209538082760466
0.05533333333333015,write,2,2.0,0.315932878492389,73.78472458926409,0.2,0.08209538082760466
0.05866666666666995,write,2,2.0,0.31601692570998496,73.78436632655635,0.2,0.08209538082760466
0.06200000000000042,write,2,2.0,0.316099194670534,73.78401117294085,0.2,0.08209538082760466
0.06533333333334022,write,2,2.0,0.316179697497255,73.78365911380916,0.2,0.08209538082760466
0.06866666666666985,write,2,2.0,0.316258431004888,73.7833101592014,0.2,0.08209538082760466
0.07200000000000033,write,2,2.0,0.316335392041125,73.78296431940494,0.2,0.08209538082760466
0.07299999999999998,read,2,0.0,0.31635829639415197,0.6245759255856212,0.2,0.08209538082760466
0.07550000000000037,read,2,0.0,0.31641537326170305,0.0014811507737421505,0.2,0.08209538082760466
0.07799999999999993,read,2,0.0,0.316472221158045,0.0007136825656531995,0.2,0.08209538082760466
0.08050000000000034,read,2,0.0,0.31652884950625604,0.0006471487896270599,0.2,0.08209538082760466
