cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
2,erase,0,hold,1.147144e-14,4.803837e-17,1.151947e-14,41
2,erase,0,fall,-1.633271e-15,3.732687e-19,-1.632898e-15,31
2,relax,0,hold,-1.991620e-14,2.476552e-16,-1.966854e-14,71
3,fire,1,rise,2.654578e-16,5.447935e-16,8.102514e-16,30
3,fire,1,write,3.611107e-15,1.230809e-13,1.266920e-13,11
3,fire,1,fall,-2.648101e-16,5.482355e-16,2.834254e-16,30
3,fire,1,read,7.403154e-17,3.696682e-18,7.772822e-17,21
3,fire,2,rise,2.574143e-16,5.376404e-16,7.950547e-16,30
3,fire,2,write,3.611167e-15,1.230873e-13,1.266985e-13,11
3,fire,2,fall,-2.648326e-16,5.484251e-16,2.835925e-16,30
3,fire,2,read,7.403126e-17,3.696668e-18,7.772793e-17,21
3,fire,3,rise,2.574523e-16,5.378964e-16,7.953486e-16,30
3,fire,3,write,3.611241e-15,1.230992e-13,1.267104e-13,11
3,fire,3,fall,-2.648700e-16,5.487405e-16,2.838705e-16,30
3,fire,3,read,7.403214e-17,3.696710e-18,7.772885e-17,21
3,fire,4,rise,2.575072e-16,5.382682e-16,7.957753e-16,30
3,fire,4,write,3.611326e-15,1.231156e-13,1.267270e-13,11
3,fire,4,fall,-2.649199e-16,5.491615e-16,2.842416e-16,30
3,fire,4,read,7.403401e-17,3.696802e-18,7.773081e-17,21
3,fire,5,rise,2.575761e-16,5.387358e-16,7.963119e-16,30
3,fire,5,write,3.611420e-15,1.231359e-13,1.267473e-13,11
3,fire,5,fall,-2.649800e-16,5.496693e-16,2.846894e-16,30
3,fire,5,read,7.403672e-17,3.696936e-18,7.773365e-17,21
3,fire,6,rise,2.576564e-16,5.392814e-16,7.969377e-16,30
3,fire,6,write,3.611522e-15,1.231591e-13,1.267706e-13,11
3,fire,6,fall,-2.650482e-16,5.502470e-16,2.851988e-16,30
3,fire,6,read,7.404008e-17,3.697101e-18,7.773718e-17,21
3,fire,7,rise,2.577456e-16,5.398898e-16,7.976355e-16,30
3,fire,7,write,3.611628e-15,1.231848e-13,1.267964e-13,11
3,fire,7,fall,-2.651228e-16,5.508801e-16,2.857573e-16,30
3,fire,7,read,7.404386e-17,3.697287e-18,7.774115e-17,21
3,fire,8,rise,2.578420e-16,5.405488e-16,7.983908e-16,30
3,fire,8,write,3.611741e-15,1.232124e-13,1.268242e-13,11
3,fire,8,fall,-2.652026e-16,5.515592e-16,2.863567e-16,30
3,fire,8,read,7.404795e-17,3.697489e-18,7.774544e-17,21
3,fire,9,rise,2.579449e-16,5.412543e-16,7.991992e-16,30
3,fire,9,write,3.611864e-15,1.232421e-13,1.268539e-13,11
3,fire,9,fall,-2.652879e-16,5.522914e-16,2.870036e-16,30
3,fire,9,read,7.405250e-17,3.697715e-18,7.775021e-17,21
3,erase,0,rise,3.567736e-16,2.850908e-18,3.596245e-16,30
3,erase,0,hold,1.147585e-14,4.805436e-17,1.152391e-14,41
3,erase,0,fall,-1.617371e-15,3.252017e-19,-1.617046e-15,31
3,relax,0,hold,-1.991478e-14,2.479514e-16,-1.966683e-14,71
4,fire,1,rise,2.653768e-16,5.439704e-16,8.093472e-16,30
4,fire,1,write,3.610954e-15,1.230418e-13,1.266527e-13,11
4,fire,1,fall,-2.646986e-16,5.473643e-16,2.826657e-16,30
