pulse_number,I_D_uA_per_um_Vpgm_1.0V,I_D_uA_per_um_Vpgm_1.5V,I_D_uA_per_um_Vpgm_2.0V,I_D_uA_per_um_Vpgm_2.5V,I_D_uA_per_um_Vpgm_6.0V
1,1.550610860769289e-07,1.0146537270631179e-07,4.5435670222624225e-08,1.2721989890579779e-08,5.139369034787967e-07
2,6.212185346117056e-08,4.036707295747966e-08,1.4930092718016335e-07,2.6437993575526335e-07,2.268774169239089e-06
3,1.3908157585246779e-08,1.5802933570607114e-07,3.137129425364534e-07,5.316753861717522e-07,4.074665588568356e-06
4,7.426575446650255e-08,2.527648865330167e-07,4.844468184717223e-07,9.181396849082544e-07,5.651521310506412e-06
5,1.207963401516122e-07,3.268683821785211e-07,6.944123460196623e-07,1.2943167963052112e-06,6.842969645581234e-06
6,1.5539217943762223e-07,3.9601705776221005e-07,9.146700848059688e-07,1.5852819612156e-06,7.436423555168934e-06
7,1.7981075562532777e-07,4.637721369667456e-07,1.0843774646153935e-06,1.7948865199502779e-06,7.0467319232769566e-06
8,1.9562949632632112e-07,5.263652133854011e-07,1.202152912940011e-06,1.9281278196148447e-06,4.867216925242079e-06
9,2.042240972892978e-07,5.799385985141089e-07,1.2734547470190445e-06,1.9898861844871114e-06,8.628274623199888e-07
