node,V_pgm_V,ID_baseline_uA_per_um,ID_p09_uA_per_um,fire_ratio,monotonic,Pol_y_p09_uC_per_cm2,Ey_p09_MV_per_cm,Ey_over_Fc
n2,1.0,8.745830942638645e-05,0.0001592544573457678,1.8209185426778922,False,0.24642401408762002,0.180155351733042,0.12868239409503002
n4,1.5,8.745830942638645e-05,0.0001588233983328911,1.8159898055950026,False,0.224017737236984,0.348376693883735,0.24884049563123928
n5,2.0,8.745830942638645e-05,0.00015837168584597667,1.8108249162908634,False,0.18254303792111698,0.5140718267299951,0.36719416194999643
n6,2.5,8.745830942638645e-05,0.00016048379771168558,1.8349748441772087,False,0.133154556350013,0.6789879072841141,0.48499136234579576
n8,3.0,8.745830942638645e-05,0.0001676577057067922,1.9170014468197498,False,0.0785353830339425,0.843380713024133,0.6024147950172378
n9,3.5,8.745830942638645e-05,0.00018565336427618114,2.1227641546449663,False,0.018230584444721,1.00698420763612,0.7192744340258
n10,4.0,8.745830942638645e-05,0.0002266562467116478,2.5915919047397558,False,-0.046478420963778196,1.169969833166,0.8356927379757143
n11,4.5,8.745830942638645e-05,0.00031827068232034335,3.6391131318200403,False,-0.11558260745474999,1.33227223353134,0.9516230239509572
n12,5.0,8.745830942638645e-05,0.0005240480379979311,5.991975393018793,False,-0.18910111194173498,1.49384179572138,1.0670298540867
n7,6.0,8.745830942638645e-05,0.002064386491330711,23.60423503347389,False,-0.349915922637777,1.81454245401375,1.2961017528669643
