time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0095) Polarization/x","Pos(0,0.0095) Polarization/y","Pos(0,0.0095) ElectricField/x","Pos(0,0.0095) ElectricField/y"
8.08e-07,0.05,0.05,0.0,-5.93873963594168e-13,1.66330802707349e-07,1.36832215370586e-23,1.66330208833385e-07,5.20696666495224e-17,0.0,0.0,0.0,-5.06716935503973e-13,1.71201582176295e-07,1.3006026768796e-23,1.71201075459359e-07,5.01325819663818e-17,-0.5,-0.5,0.0,0.0,-3.37531284292748e-07,0.0,-3.37531284292748e-07,-2.00195167240937e-16,0.0,1.78694797088818e-07,-3.44965328618489,122120.722454892
8.13e-07,0.05,0.05,0.0,-3.66392211960929e-17,5.93183712729617e-11,5.65014534938904e-24,5.93183346337462e-11,5.20305691039479e-17,0.0,0.0,0.0,-3.63500674652297e-17,5.74204258284484e-11,5.20212093620594e-24,5.74203894783861e-11,5.00442969956609e-17,-0.5,-0.5,0.0,0.0,-1.16738724112055e-10,0.0,-1.16738724112055e-10,-2.05722449665419e-16,0.0,1.76998502838397e-07,7.80504490646291,136810.934416391
8.18e-07,0.05,0.05,0.0,-2.59006963939238e-18,4.53207661168897e-11,5.62418574127805e-24,4.53207635268257e-11,5.20118599378344e-17,0.0,0.0,0.0,-2.38229268161093e-18,4.3889396640928e-11,5.17870442456148e-24,4.38893942586405e-11,5.00188966531904e-17,-0.5,-0.5,0.0,0.0,-8.92101577856613e-11,0.0,-8.92101577856613e-11,-2.06185020101052e-16,0.0,1.75304970490885e-07,7.64555202681725,138562.315943251
8.23e-07,0.05,0.05,0.0,-1.25648634239724e-18,4.16363390003231e-11,5.60131230233554e-24,4.16363377438424e-11,5.19899552690876e-17,0.0,0.0,0.0,-1.08685907307362e-18,4.05507848627753e-11,5.15644249329017e-24,4.05507837759214e-11,4.99923144643215e-17,-0.5,-0.5,0.0,0.0,-8.21871215198981e-11,0.0,-8.21871215198981e-11,-2.06600078785024e-16,0.0,1.7361411151595e-07,7.54507855837882,140204.213437964
8.28e-07,0.05,0.05,0.0,-9.82953324388742e-19,3.87595227009824e-11,5.57970152040662e-24,3.87595217180347e-11,5.19668620994553e-17,0.0,0.0,0.0,-1.04977352448479e-18,3.79041911998729e-11,5.13515373828775e-24,3.79041901501045e-11,4.99658657166098e-17,-0.5,-0.5,0.0,0.0,-7.6663711869003e-11,0.0,-7.6663711869003e-11,-2.06983397344368e-16,0.0,1.71925934828223e-07,7.50044452930734,141768.757168729
8.33e-07,0.05,0.05,0.0,-1.01436605234575e-18,3.61925979574567e-11,5.55886547574021e-24,3.61925969430962e-11,5.19435650306393e-17,0.0,0.0,0.0,-8.49836761838062e-19,3.54922135705119e-11,5.11441499543432e-24,3.54922127206803e-11,4.99399453869534e-17,-0.5,-0.5,0.0,0.0,-7.16848096638563e-11,0.0,-7.16848096638563e-11,-2.07341821392688e-16,0.0,1.70240238071131e-07,7.48729527952628,143269.79749494
8.38e-07,0.05,0.05,0.0,-7.91413117252166e-19,3.38538339643536e-11,5.53871220939746e-24,3.3853833172946e-11,5.19204446083813e-17,0.0,0.0,0.0,-8.92110008584144e-19,3.32555038304643e-11,5.09396414228503e-24,3.32555029383594e-11,4.99146700413595e-17,-0.5,-0.5,0.0,0.0,-6.7109336111345e-11,0.0,-6.7109336111345e-11,-2.07677368073244e-16,0.0,1.68557022307416e-07,7.49448614334069,144711.197023891
8.43e-07,0.05,0.05,0.0,-6.33193681923324e-19,3.16957905521863e-11,5.51914977102523e-24,3.16957899189981e-11,5.18976949712864e-17,0.0,0.0,0.0,-6.48177390905573e-19,3.11657878246665e-11,5.07424503068381e-24,3.11657871764942e-11,4.9890066469493e-17,-0.5,-0.5,0.0,0.0,-6.28615770972493e-11,0.0,-6.28615770972493e-11,-2.07991675958731e-16,0.0,1.66876288422044e-07,7.51495888226991,146096.537342966
8.48e-07,0.05,0.05,0.0,-7.7286575327223e-19,2.96893528314888e-11,5.50013242797101e-24,2.96893520586285e-11,5.187540816971e-17,0.0,0.0,0.0,-6.02810949182367e-19,2.92069394712705e-11,5.05521618824821e-24,2.92069388684646e-11,4.98661243766548e-17,-0.5,-0.5,0.0,0.0,-5.88962909270815e-11,0.0,-5.88962909270815e-11,-2.08286157413366e-16,0.0,1.65198037131081e-07,7.54441064152201,147429.166966762
8.53e-07,0.05,0.05,0.0,-6.39141193508248e-19,2.78154173750812e-11,5.48160648947495e-24,2.78154167359454e-11,5.18536210409629e-17,0.0,0.0,0.0,-5.08285352072053e-19,2.73679550021586e-11,5.03684276302783e-24,2.73679544938782e-11,4.98428189313783e-17,-0.5,-0.5,0.0,0.0,-5.51833712319092e-11,0.0,-5.51833712319092e-11,-2.08562074269526e-16,0.0,1.6352226899005e-07,7.58025025292599,148712.221995708
