cycle,I_D_uA_per_um_Vrec_1.0V,I_D_uA_per_um_Vrec_1.5V,I_D_uA_per_um_Vrec_2.0V,I_D_uA_per_um_Vrec_2.5V
0,2.657836987769911e-07,2.657836987769911e-07,2.657836987769911e-07,2.657836987769911e-07
1,1.608261649472489e-06,1.6188317951194555e-06,4.998347990263412e-06,1.0849150369372045e-05
2,2.4467127469362557e-06,2.4577046766118668e-06,6.043321900431155e-06,1.0864729875477244e-05
3,2.580799207607411e-06,2.592674836397922e-06,6.230655875569334e-06,1.0852215646158124e-05
4,2.598509308035478e-06,2.6105212333471447e-06,6.2554158602337995e-06,1.0847487654200422e-05
5,2.6007071125300443e-06,2.6127343883010446e-06,6.258838012713467e-06,1.0846601077872021e-05
