V_erase_V,ID_baseline_virgin_uA_per_um,ID_end_relax_uA_per_um,tau_relax_us,restoration_ratio,verdict
-10.0,2.657836987769911e-07,2.435861775395733e-07,13.620754264202239,0.916,within +-20% of virgin
-8.0,2.657836987769911e-07,9.571247181144223e-07,15.812162482742725,3.601,off-virgin
-6.0,2.657836987769911e-07,3.003238781574389e-07,13.702014872771304,1.130,within +-20% of virgin
-4.0,2.657836987769911e-07,1.9799104395804113e-07,13.076570796477348,0.745,within factor 2 of virgin
