pulse_index,I_D_uA_per_um_c1_Vrec_1.0V,I_D_uA_per_um_c1_Vrec_1.5V,I_D_uA_per_um_c1_Vrec_2.0V,I_D_uA_per_um_c1_Vrec_2.5V,I_D_uA_per_um_c5_Vrec_1.0V,I_D_uA_per_um_c5_Vrec_1.5V,I_D_uA_per_um_c5_Vrec_2.0V,I_D_uA_per_um_c5_Vrec_2.5V
1,4.543859273186412e-08,4.543859273186412e-08,4.543859273186412e-08,4.543859273186412e-08,2.404027509594678e-06,2.3635884395254004e-06,2.0284529402977e-06,1.707231858030511e-06
2,1.4929767266116003e-07,1.4929767266116003e-07,1.4929767266116003e-07,1.4929767266116003e-07,2.2396947233817e-06,2.197989387610356e-06,1.8494009044055445e-06,1.5131235486872447e-06
3,3.1370870733305334e-07,3.1370870733305334e-07,3.1370870733305334e-07,3.1370870733305334e-07,2.1283193193150335e-06,2.0853474838609223e-06,1.7222773398769998e-06,1.3702875025868e-06
4,4.844459384941e-07,4.844459384941e-07,4.844459384941e-07,4.844459384941e-07,2.067561963469289e-06,2.0233655454857444e-06,1.6451200861037e-06,1.2770564813317002e-06
5,6.944068445943277e-07,6.944068445943277e-07,6.944068445943277e-07,6.944068445943277e-07,2.0543436213437003e-06,2.008949724265989e-06,1.6150347625232333e-06,1.2307030118857e-06
6,9.146616565585334e-07,9.146616565585334e-07,9.146616565585334e-07,9.146616565585334e-07,2.0851707788655114e-06,2.0386307011278555e-06,1.6286730376739334e-06,1.2279739063039334e-06
7,1.0843712760694244e-06,1.0843712760694244e-06,1.0843712760694244e-06,1.0843712760694244e-06,2.1564925437227776e-06,2.1088435503378224e-06,1.682545221575e-06,1.2653704351083889e-06
8,1.2021407684874556e-06,1.2021407684874556e-06,1.2021407684874556e-06,1.2021407684874556e-06,2.2648303932961e-06,2.216103029451989e-06,1.7732242488578668e-06,1.339443555897389e-06
9,1.2734496930840222e-06,1.2734496930840222e-06,1.2734496930840222e-06,1.2734496930840222e-06,2.4069548119201667e-06,2.3571741096839775e-06,1.8974751904852665e-06,1.4468743527452111e-06
