V_recovery_V,I_D_settle_c5_uA_per_um,ratio_to_virgin,in_cycle_min_at_p5_uA_per_um,in_cycle_max_at_p9_uA_per_um
-1.0,2.6007071125300443e-06,9.785051244667182,2.0543436213437003e-06,2.4069548119201667e-06
-1.5,2.6127343883010446e-06,9.83030336444106,2.008949724265989e-06,2.3571741096839775e-06
-2.0,6.258838012713467e-06,23.548615063729013,1.6150347625232333e-06,1.8974751904852665e-06
-2.5,1.0846601077872021e-05,40.809880845901645,1.2307030118857e-06,1.4468743527452111e-06
