file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c1_p4_rise_cyclic_vm6_des.plt,1,4,rise,6.060010e-07,6.070000e-07,2.800976e-16,7.590267e-16,1.039124e-15,30
c1_p4_write_cyclic_vm10_des.plt,1,4,write,6.070000e-07,7.070000e-07,3.637028e-15,1.305048e-13,1.341419e-13,11
c1_p4_write_cyclic_vm4_des.plt,1,4,write,6.070000e-07,7.070000e-07,3.637028e-15,1.305048e-13,1.341419e-13,11
c1_p4_write_cyclic_vm6_des.plt,1,4,write,6.070000e-07,7.070000e-07,3.637028e-15,1.305048e-13,1.341419e-13,11
c1_p5_fall_cyclic_vm10_des.plt,1,5,fall,9.090010e-07,9.100000e-07,-2.814958e-16,7.731254e-16,4.916295e-16,30
c1_p5_fall_cyclic_vm4_des.plt,1,5,fall,9.090010e-07,9.100000e-07,-2.814958e-16,7.731254e-16,4.916295e-16,30
c1_p5_fall_cyclic_vm6_des.plt,1,5,fall,9.090010e-07,9.100000e-07,-2.814958e-16,7.731254e-16,4.916295e-16,30
c1_p5_read_cyclic_vm10_des.plt,1,5,read,9.100000e-07,1.010000e-06,7.588956e-17,3.785704e-18,7.967527e-17,21
c1_p5_read_cyclic_vm4_des.plt,1,5,read,9.100000e-07,1.010000e-06,7.588956e-17,3.785704e-18,7.967527e-17,21
c1_p5_read_cyclic_vm6_des.plt,1,5,read,9.100000e-07,1.010000e-06,7.588956e-17,3.785704e-18,7.967527e-17,21
c1_p5_rise_cyclic_vm10_des.plt,1,5,rise,8.080010e-07,8.090000e-07,2.801271e-16,7.596493e-16,1.039776e-15,30
c1_p5_rise_cyclic_vm4_des.plt,1,5,rise,8.080010e-07,8.090000e-07,2.801271e-16,7.596493e-16,1.039776e-15,30
c1_p5_rise_cyclic_vm6_des.plt,1,5,rise,8.080010e-07,8.090000e-07,2.801271e-16,7.596493e-16,1.039776e-15,30
c1_p5_write_cyclic_vm10_des.plt,1,5,write,8.090000e-07,9.090000e-07,3.637134e-15,1.305218e-13,1.341589e-13,11
c1_p5_write_cyclic_vm4_des.plt,1,5,write,8.090000e-07,9.090000e-07,3.637134e-15,1.305218e-13,1.341589e-13,11
c1_p5_write_cyclic_vm6_des.plt,1,5,write,8.090000e-07,9.090000e-07,3.637134e-15,1.305218e-13,1.341589e-13,11
c1_p6_fall_cyclic_vm10_des.plt,1,6,fall,1.111001e-06,1.112000e-06,-2.815120e-16,7.740705e-16,4.925585e-16,30
c1_p6_fall_cyclic_vm4_des.plt,1,6,fall,1.111001e-06,1.112000e-06,-2.815120e-16,7.740705e-16,4.925585e-16,30
c1_p6_fall_cyclic_vm6_des.plt,1,6,fall,1.111001e-06,1.112000e-06,-2.815120e-16,7.740705e-16,4.925585e-16,30
c1_p6_read_cyclic_vm10_des.plt,1,6,read,1.112000e-06,1.212000e-06,7.589834e-17,3.786091e-18,7.968443e-17,21
c1_p6_read_cyclic_vm4_des.plt,1,6,read,1.112000e-06,1.212000e-06,7.589834e-17,3.786091e-18,7.968443e-17,21
c1_p6_read_cyclic_vm6_des.plt,1,6,read,1.112000e-06,1.212000e-06,7.589834e-17,3.786091e-18,7.968443e-17,21
c1_p6_rise_cyclic_vm10_des.plt,1,6,rise,1.010001e-06,1.011000e-06,2.801661e-16,7.604884e-16,1.040655e-15,30
c1_p6_rise_cyclic_vm4_des.plt,1,6,rise,1.010001e-06,1.011000e-06,2.801661e-16,7.604884e-16,1.040655e-15,30
c1_p6_rise_cyclic_vm6_des.plt,1,6,rise,1.010001e-06,1.011000e-06,2.801661e-16,7.604884e-16,1.040655e-15,30
c1_p6_write_cyclic_vm10_des.plt,1,6,write,1.011000e-06,1.111000e-06,3.637256e-15,1.305441e-13,1.341814e-13,11
c1_p6_write_cyclic_vm4_des.plt,1,6,write,1.011000e-06,1.111000e-06,3.637256e-15,1.305441e-13,1.341814e-13,11
c1_p6_write_cyclic_vm6_des.plt,1,6,write,1.011000e-06,1.111000e-06,3.637256e-15,1.305441e-13,1.341814e-13,11
c1_p7_fall_cyclic_vm10_des.plt,1,7,fall,1.313001e-06,1.314000e-06,-2.815303e-16,7.751934e-16,4.936631e-16,30
c1_p7_fall_cyclic_vm4_des.plt,1,7,fall,1.313001e-06,1.314000e-06,-2.815303e-16,7.751934e-16,4.936631e-16,30
c1_p7_fall_cyclic_vm6_des.plt,1,7,fall,1.313001e-06,1.314000e-06,-2.815303e-16,7.751934e-16,4.936631e-16,30
c1_p7_read_cyclic_vm10_des.plt,1,7,read,1.314000e-06,1.414000e-06,7.591011e-17,3.786612e-18,7.969672e-17,21
c1_p7_read_cyclic_vm4_des.plt,1,7,read,1.314000e-06,1.414000e-06,7.591011e-17,3.786612e-18,7.969672e-17,21
c1_p7_read_cyclic_vm6_des.plt,1,7,read,1.314000e-06,1.414000e-06,7.591011e-17,3.786612e-18,7.969672e-17,21
c1_p7_rise_cyclic_vm10_des.plt,1,7,rise,1.212001e-06,1.213000e-06,2.802132e-16,7.615204e-16,1.041734e-15,30
c1_p7_rise_cyclic_vm4_des.plt,1,7,rise,1.212001e-06,1.213000e-06,2.802132e-16,7.615204e-16,1.041734e-15,30
c1_p7_rise_cyclic_vm6_des.plt,1,7,rise,1.212001e-06,1.213000e-06,2.802132e-16,7.615204e-16,1.041734e-15,30
c1_p7_write_cyclic_vm10_des.plt,1,7,write,1.213000e-06,1.313000e-06,3.637384e-15,1.305711e-13,1.342085e-13,11
c1_p7_write_cyclic_vm4_des.plt,1,7,write,1.213000e-06,1.313000e-06,3.637384e-15,1.305711e-13,1.342085e-13,11
c1_p7_write_cyclic_vm6_des.plt,1,7,write,1.213000e-06,1.313000e-06,3.637384e-15,1.305711e-13,1.342085e-13,11
c1_p8_fall_cyclic_vm10_des.plt,1,8,fall,1.515001e-06,1.516000e-06,-2.815502e-16,7.764573e-16,4.949071e-16,30
c1_p8_fall_cyclic_vm4_des.plt,1,8,fall,1.515001e-06,1.516000e-06,-2.815502e-16,7.764573e-16,4.949071e-16,30
c1_p8_fall_cyclic_vm6_des.plt,1,8,fall,1.515001e-06,1.516000e-06,-2.815502e-16,7.764573e-16,4.949071e-16,30
c1_p8_read_cyclic_vm10_des.plt,1,8,read,1.516000e-06,1.616000e-06,7.592444e-17,3.787253e-18,7.971169e-17,21
c1_p8_read_cyclic_vm4_des.plt,1,8,read,1.516000e-06,1.616000e-06,7.592444e-17,3.787253e-18,7.971169e-17,21
c1_p8_read_cyclic_vm6_des.plt,1,8,read,1.516000e-06,1.616000e-06,7.592444e-17,3.787253e-18,7.971169e-17,21
c1_p8_rise_cyclic_vm10_des.plt,1,8,rise,1.414001e-06,1.415000e-06,2.802665e-16,7.627082e-16,1.042975e-15,30
c1_p8_rise_cyclic_vm4_des.plt,1,8,rise,1.414001e-06,1.415000e-06,2.802665e-16,7.627082e-16,1.042975e-15,30
c1_p8_rise_cyclic_vm6_des.plt,1,8,rise,1.414001e-06,1.415000e-06,2.802665e-16,7.627082e-16,1.042975e-15,30
c1_p8_write_cyclic_vm10_des.plt,1,8,write,1.415000e-06,1.515000e-06,3.637514e-15,1.306018e-13,1.342393e-13,11
c1_p8_write_cyclic_vm4_des.plt,1,8,write,1.415000e-06,1.515000e-06,3.637514e-15,1.306018e-13,1.342393e-13,11
c1_p8_write_cyclic_vm6_des.plt,1,8,write,1.415000e-06,1.515000e-06,3.637514e-15,1.306018e-13,1.342393e-13,11
c1_p9_fall_cyclic_vm10_des.plt,1,9,fall,1.717001e-06,1.718000e-06,-2.815707e-16,7.778287e-16,4.962580e-16,30
