epoch,fr_hz
0,23.58057146650881
1,19.883903432215558
2,20.151632948480298
3,20.445999988545736
4,25.12506421758777
5,38.4972627299088
6,36.99439753067911
7,42.0062581699544
8,37.81259299892932
9,28.774208406139813
10,29.005899234385684
11,27.920151803061348
12,27.91264067128191
13,28.568476286319157
14,31.49655620807487
15,34.4309848168738
16,36.738120968861914
17,36.29485008016889
18,37.611545472404664
19,39.955689408557234
20,37.87657732775608
21,39.284540282125725
22,40.89527884425517
