timestep,Normal,Epileptic
232,0.43273726,0.5672627
233,0.46200085,0.5379991
234,0.4638478,0.5361522
235,0.44479027,0.5552097
236,0.41023153,0.58976847
237,0.41452235,0.5854776
238,0.418616,0.58138406
239,0.42252034,0.5774797
240,0.42624322,0.57375675
241,0.42979234,0.57020766
242,0.3807609,0.6192391
243,0.331446,0.668554
244,0.3390734,0.6609266
245,0.34640718,0.6535928
246,0.32321823,0.6767818
247,0.35606447,0.6439355
248,0.34014708,0.6598529
249,0.3474389,0.6525611
250,0.26986778,0.7301322
251,0.27954012,0.7204599
252,0.27111495,0.728885
253,0.2691579,0.7308421
254,0.27884987,0.72115016
255,0.25836775,0.7416322
256,0.2393996,0.7606003
257,0.24981739,0.7501826
258,0.24976845,0.7502315
259,0.23481534,0.7651847
260,0.24532671,0.7546733
261,0.2556159,0.7443841
262,0.22982922,0.7701708
263,0.19664738,0.8033526
264,0.1944859,0.8055141
265,0.20557624,0.79442376
266,0.21655433,0.78344566
267,0.2041866,0.7958133
268,0.21518083,0.7848192
269,0.20786418,0.7921359
270,0.21847993,0.78152007
271,0.22278655,0.77721345
272,0.23893966,0.76106036
273,0.21946646,0.78053355
274,0.23025207,0.7697479
275,0.2408514,0.7591486
276,0.25123847,0.7487616
277,0.26139116,0.73860884
278,0.27129126,0.72870874
279,0.26296577,0.7370342
280,0.27282467,0.72717524
281,0.28785044,0.71214956
282,0.2969925,0.7030074
283,0.30584234,0.69415766
284,0.31439564,0.6856044
285,0.32265043,0.67734957
286,0.33060667,0.66939336
287,0.3382659,0.66173416
288,0.3749336,0.62506646
289,0.38079444,0.61920553
290,0.38640186,0.6135981
291,0.3917639,0.6082361
292,0.39688876,0.60311127
293,0.36243257,0.63756746
294,0.4355274,0.5644726
295,0.46257767,0.53742236
296,0.46439672,0.5356032
297,0.46612796,0.533872
298,0.4876558,0.5123442
299,0.48516533,0.51483464
300,0.48588857,0.5141114
301,0.48657662,0.51342344
302,0.53800607,0.46199387
303,0.5361588,0.46384114
304,0.5583664,0.44163355
305,0.62270147,0.37729847
306,0.6169425,0.38305753
307,0.6301902,0.36980978
308,0.6500772,0.34992275
309,0.6485135,0.3514864
310,0.6578261,0.34217387
311,0.6953271,0.30467293
312,0.73630935,0.26369068
313,0.7420161,0.25798395
314,0.7829389,0.2170611
315,0.78778124,0.21221878
316,0.77688825,0.2231117
317,0.76616216,0.23383786
318,0.7512282,0.24877174
319,0.7734102,0.22658977
320,0.7627442,0.23725583
321,0.79660004,0.20339997
322,0.7855969,0.21440303
323,0.81953174,0.18046825
324,0.80835664,0.19164339
325,0.7972437,0.20275626
326,0.76816815,0.23183183
327,0.7606941,0.2393059
328,0.73611736,0.26388264
329,0.73687845,0.26312155
330,0.75607264,0.24392733
331,0.74575233,0.25424767
332,0.7356722,0.26432785
333,0.694877,0.305123
334,0.68629915,0.31370082
335,0.64396244,0.35603756
336,0.60349786,0.39650217
337,0.59858453,0.40141547
338,0.5938924,0.40610754
339,0.53169453,0.46830556
340,0.5024484,0.4975516
341,0.52223676,0.4777632
342,0.51806366,0.48193637
343,0.51718324,0.4828168
344,0.54432154,0.4556785
345,0.5438051,0.45619494
346,0.5037549,0.4962451
347,0.5035718,0.49642825
