epoch,g_mean,sensitivity,specificity
0,0.39093017881003084,0.1935483870967742,0.789603090972954
1,0.5407365999880539,0.7419354838709677,0.3940990516332982
2,0.4111590283621033,0.3225806451612903,0.5240604144713734
3,0.0,1.0,0.0
4,0.34766976418841344,0.9032258064516129,0.13382507903055849
5,0.6082754148006134,0.4838709677419355,0.7646645591851071
6,0.6728808356014798,0.8709677419354839,0.5198454513523006
7,0.5708074818384286,0.9032258064516129,0.3607305936073059
8,0.7014396840282175,0.7419354838709677,0.6631541974007727
9,0.7172373737858426,0.6774193548387096,0.7593958552862663
10,0.6414671536614043,0.9032258064516129,0.45556726378644186
11,0.7248821087816363,0.8064516129032258,0.6515630488233228
12,0.6084709703159695,0.9032258064516129,0.40990516332982085
13,0.662632114622268,0.5161290322580645,0.8507200561995083
14,0.725389934533798,0.7741935483870968,0.6796628029504742
15,0.6274120096017749,0.9354838709677419,0.42079381805409205
16,0.7088951805699129,0.6774193548387096,0.7418335089567967
17,0.48702530772231023,0.2903225806451613,0.8170003512469266
18,0.6890538443261937,0.7741935483870968,0.613277133825079
19,0.6353529436615242,0.7419354838709677,0.5440814892869688
20,0.6402649099926357,0.8709677419354839,0.47067088162978576
21,0.620748909797337,0.8387096774193549,0.4594309799789252
22,0.6136720280686775,0.8709677419354839,0.43238496663154197
