epoch,loss
0,0.7207644833968236
1,0.6933825898628968
2,0.6935925506628476
3,0.692618625668379
4,0.692457364155696
5,0.7823397104556744
6,0.6389614979808147
7,0.7081659814486136
8,0.6182499115283673
9,0.4453078717566453
10,0.43334659991356045
11,0.44740276124614936
12,0.4964894540607929
13,0.46309483681733793
14,0.47078319696279675
15,0.5383528299056567
16,0.5394859858430349
17,0.5334456471296457
18,0.5444196118758275
19,0.6823758076016719
20,0.5734576846544559
21,0.5463475435972214
22,0.5689443464462574
