timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
965,1.6938969,0.76644635,1.1878217,2.1208792,0.76451886
966,1.6922039,0.76568025,1.1866345,2.1187594,0.7637547
967,1.6905125,0.76491493,1.1854485,2.1166418,0.76299137
968,1.6888229,0.7641504,1.1842637,2.1145263,0.7622287
969,1.6871349,0.7633866,1.1830801,2.1124127,0.76146686
970,1.7984817,0.7626236,1.1818975,2.1103013,0.76070577
971,1.7966841,0.7618614,1.1807162,2.108192,0.75994545
972,1.7948884,0.7610999,1.179536,2.1060848,0.75918585
973,1.7930944,0.76033914,1.178357,2.1039798,0.758427
974,1.7913022,0.7595792,1.1771792,2.101877,0.757669
975,1.7895118,0.75882,1.1760026,2.099776,0.7569117
976,1.7877232,0.7580615,1.1748272,2.0976772,0.75615513
977,1.7859364,0.75730383,1.173653,2.0955806,0.75539935
978,1.8960987,0.7565469,1.17248,2.093486,0.75464433
979,1.8942035,0.7557907,1.171308,2.0913937,0.75389004
980,1.8923103,0.7550353,1.1701373,2.0893033,0.7531365
981,1.8904189,0.7542806,1.1689677,2.1949503,0.75238377
982,1.8885294,0.7535267,1.1677994,2.1927564,0.75163174
983,1.8866419,0.7527735,1.1666322,2.1905646,0.7508805
984,1.8847561,0.75202113,1.1654661,2.1883752,0.75012994
985,1.8828722,0.75126946,1.1643012,2.186188,0.7493802
986,1.8809903,0.75051856,1.1631374,2.1840029,0.7486312
987,1.8791102,0.74976844,1.1619749,2.18182,0.7478829
988,1.8772321,0.749019,1.1608135,2.179639,0.7471354
989,1.8753557,0.7482704,1.1596532,2.1774604,0.7463886
990,1.8734813,0.7475225,1.1584941,2.2815473,0.7456426
991,1.8716087,0.7467753,1.1573362,2.2792668,0.7448973
992,1.869738,0.7460289,1.1561794,2.2769887,0.7441528
993,1.8678691,0.74528325,1.1550238,2.2747128,0.743409
994,1.8660022,0.7445383,1.1538694,2.2724392,0.74266595
995,1.8641372,0.74379414,1.152716,2.2701678,0.74192363
996,1.8622739,0.7430507,1.1515639,2.2678988,0.7411821
997,1.8604126,0.742308,1.1504129,2.265632,0.74044126
998,1.858553,0.74156606,1.149263,2.2633674,0.7397012
999,1.8566954,0.7408249,1.1481143,2.365826,0.7389619
1000,1.8548397,0.7400844,1.1469668,2.3634613,0.73822325
1001,1.8529857,0.7393447,1.1458204,2.361099,0.7374854
1002,1.8511337,0.73860574,1.1446751,2.3587391,0.7367483
1003,1.8492835,0.7378675,1.143531,2.3563817,0.73601186
1004,1.8474351,0.73713,1.142388,2.3540263,0.7352762
1005,1.8455886,0.7363932,1.1412462,2.3516734,0.7345413
1006,1.8437439,0.73565716,1.1401055,2.3493228,0.7338071
1007,1.8419011,0.7349219,1.138966,2.3469746,0.73307365
1008,1.8400601,0.7341873,1.1378275,2.3446288,0.73234093
1009,1.838221,0.73345345,1.1366903,2.3422854,0.7316089
1010,1.8363836,0.7327204,1.1355541,2.3399444,0.7308777
1011,1.8345481,0.731988,1.1344191,2.3376055,0.7301472
1012,1.8327144,0.73125637,1.1332852,2.335269,0.7294174
1013,1.8308827,0.7305255,1.1321524,2.3329349,0.7286883
1014,1.8290527,0.72979534,1.1310208,2.3306031,0.72796
1015,1.8272245,0.7290659,1.1298903,2.3282738,0.7272324
1016,1.8253982,0.72833717,1.1287609,2.3259466,0.7265055
1017,1.8235737,0.7276092,1.1276327,2.3236217,0.72577935
1018,1.821751,0.726882,1.1265056,2.3212993,0.7250539
1019,1.8199302,0.72615546,1.1253797,2.3189793,0.72432923
1020,1.8181112,0.72542965,1.1242548,2.3166614,0.7236053
1021,1.816294,0.72470456,1.1231312,2.3143458,0.72288203
1022,1.8144785,0.7239802,1.1220086,2.3120327,0.7221595
1023,1.812665,0.7232566,1.1208872,2.3097217,0.7214377
1024,1.8108532,0.7225337,1.1197668,2.307413,0.7207166
1025,1.8090433,0.72181153,1.1186476,2.3051069,0.7199962
1026,1.8072351,0.7210901,1.1175295,2.3028028,0.71927655
1027,1.8054287,0.72036934,1.1164125,2.300501,0.7185576
1028,1.8036242,0.7196493,1.1152966,2.2982018,0.7178394
1029,1.8018215,0.71893,1.1141819,2.2959046,0.71712196
1030,1.8000206,0.7182114,1.1130682,2.2936099,0.7164052
1031,1.7982215,0.71749353,1.1119556,2.2913175,0.7156892
1032,1.7964242,0.7167764,1.1108443,2.2890272,0.71497387
1033,1.7946286,0.7160599,1.1097339,2.2867393,0.71425927
1034,1.7928349,0.7153442,1.1086247,2.2844536,0.7135454
1035,1.7910429,0.7146292,1.1075166,2.2821703,0.7128322
1036,1.7892528,0.7139149,1.1064097,2.2798893,0.71211976
1037,1.7874644,0.7132013,1.1053038,2.2776105,0.71140796
1038,1.7856778,0.7124884,1.104199,2.2753341,0.7106969
1039,1.783893,0.71177626,1.1030954,2.2730598,0.7099865
1040,1.78211,0.7110648,1.1019928,2.270788,0.70927685
1041,1.7803288,0.7103541,1.1008914,2.2685182,0.7085679
1042,1.7785493,0.7096441,1.099791,2.2662508,0.7078597
1043,1.7767717,0.7089348,1.0986918,2.3686528,0.7071522
