t_hold_s,baseline_pre_ID_A,ID_p9_read_A,ID_during_hold_end_A,ID_post_hold_A,retention_vs_10s,fire_ratio_pre_hold,post_hold_over_baseline
10.0,4.380288e-12,1.159279e-13,2.840531e-06,2.542123e-13,1.0000,0.0265,0.0580
100.0,4.380288e-12,1.159279e-13,2.840531e-06,2.542124e-13,1.0000,0.0265,0.0580
1000.0,4.380288e-12,1.159279e-13,2.840531e-06,2.542123e-13,1.0000,0.0265,0.0580
