Voltage,Polarization
-0.06,-0.426668756512054
-0.18,-0.41525635783807496
-0.42,-0.412737229196354
-0.57,-0.39115905922157596
-0.87,-0.282597703599901
-1.17,-0.150619386361778
-1.32,-0.153951226389022
-1.62,-0.09291581204985311
-1.92,0.026408927693293102
-2.22,0.170386651332658
-2.52,0.33397269197146295
-2.82,0.488503451178581
-3.12,0.653433591027287
-3.42,0.8179217995138379
-3.72,1.00003868505004
-4.02,1.17972920004868
-4.32,1.37471102629878
-4.62,1.55666697299304
-4.92,1.7510582579902798
-5.22,1.9352818117768302
-5.52,2.27179058310885
-5.82,2.66207981646546
-6.0,2.8884302229092103
-5.88,2.87319877464975
-5.64,2.83933642273816
-5.16,2.75445781563763
-4.56,2.61911102416319
-3.96,2.44417199704427
-3.36,2.22264912548056
-2.76,1.95641045870521
-2.16,1.65449868548707
-1.56,1.31320671064566
-1.48499999999999,1.2725548191514
-1.335,1.18222090702142
-1.035,1.00388211978368
-0.734999999999998,0.897448178396283
-0.134999999999997,0.67780474649385
0.465000000000003,0.55506551413797
0.765000000000002,0.4380745720273
1.365,0.146851864671035
1.965,-0.28869072159211295
2.265,-0.540608168542502
2.865,-1.07636366509662
3.465,-1.6429214089091402
4.065,-2.23373230782545
4.665,-2.8446391686309
5.265,-3.4723984758342303
5.86500000000001,-4.1142691364366195
6.0,-4.260392805869911
5.88,-4.23702577673381
5.64,-4.18615494595089
5.16,-4.06655515431843
4.56,-3.88026547150159
3.96000000000001,-3.64989568529221
3.36000000000001,-3.3743138059687
2.76000000000001,-3.05495382278989
2.16000000000001,-2.69583156694471
1.56000000000001,-2.30463889973523
0.960000000000017,-1.90400189917031
0.360000000000019,-1.58519028264984
-0.239999999999979,-1.33853735048732
-0.839999999999977,-1.20010342253969
-0.914999999999978,-1.16031081764058
-1.06499999999998,-1.06406864106751
-1.36499999999998,-0.9791926104739931
-1.96499999999998,-0.655371821530738
-2.56499999999997,-0.172446561328419
-3.16499999999997,0.319805980844559
-3.46499999999997,0.5643082786423801
-4.06499999999997,1.10178071944535
-4.66499999999997,1.65259260821228
-4.96499999999997,1.9339039030965999
-5.56499999999996,2.49565797336115
-6.0,2.88881448413198
