node,V_pgm_V,ID_baseline_uA_per_um,ID_p09_uA_per_um,fire_ratio,monotonic,Pol_y_p09_uC_per_cm2,Ey_p09_MV_per_cm,Ey_over_Fc
n2,1.0,2.6577815108583774e-07,2.042240972892978e-07,0.7684006245620244,False,0.124378291231514,0.153783085090932,0.12815257090911
n4,1.5,2.6577815108583774e-07,5.799385985141089e-07,2.182040156968386,False,0.111929503458174,0.324205775116877,0.27017147926406415
n5,2.0,2.6577815108583774e-07,1.2734547470190445e-06,4.791419993766755,True,0.0869850457133914,0.49357086552809804,0.4113090546067483
n6,2.5,2.6577815108583774e-07,1.9898861844871114e-06,7.487019442182975,True,0.0567358125612612,0.662725266769779,0.5522710556414825
n7,6.0,2.6577815108583774e-07,8.628274623199888e-07,3.246419838481469,False,-0.250051846463607,1.8370867948565799,1.5309056623804833
