time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
4.04e-07,0.05,0.05,0.0,-4.77846690368397e-14,2.01636901041731e-08,1.7383304493887e-23,2.0163642319504e-08,7.82162991042391e-18,0.0,0.0,0.0,-5.08536352400073e-14,2.04630486389112e-08,2.46944929348336e-23,2.0462997785276e-08,7.48399063977452e-18,-0.5,-0.5,0.0,0.0,-4.06266401047797e-08,0.0,-4.06266401047797e-08,-1.17091369183553e-16,0.0,2.99191613094982e-07,-8.49157452358014,104163.323436667
4.09e-07,0.05,0.05,0.0,-2.73463283392609e-17,5.89402587249156e-11,7.85649190260365e-24,5.89402313785951e-11,7.73201215278233e-18,0.0,0.0,0.0,-2.80206012326758e-17,5.85762573175299e-11,1.83983147986702e-23,5.85762292969471e-11,7.38975055859935e-18,-0.5,-0.5,0.0,0.0,-1.1751646067554e-10,0.0,-1.1751646067554e-10,-1.2129832548168e-16,0.0,2.99056796791269e-07,0.805762148753047,115002.11826748
4.14e-07,0.05,0.05,0.0,-1.78938748926779e-18,4.83196618912826e-11,7.96139560989811e-24,4.83196601019031e-11,7.72218659181954e-18,0.0,0.0,0.0,-1.70375983917784e-18,4.79522636475502e-11,1.8666183160263e-23,4.7952261943809e-11,7.37909571429574e-18,-0.5,-0.5,0.0,0.0,-9.62719220456992e-11,0.0,-9.62719220456992e-11,-1.21792926010033e-16,0.0,2.98922405974348e-07,0.825741119228343,116299.962715541
4.19e-07,0.05,0.05,0.0,-1.19899245997038e-18,4.5143072627566e-11,8.11542742035846e-24,4.51430714285817e-11,7.71235647677077e-18,0.0,0.0,0.0,-1.35061238763602e-18,4.48235051507021e-11,1.8951692396029e-23,4.48235038001086e-11,7.36866663085786e-18,-0.5,-0.5,0.0,0.0,-8.99665752286688e-11,0.0,-8.99665752286688e-11,-1.22246507237002e-16,0.0,2.98788427503247e-07,0.829182845449366,117496.199398248
4.24e-07,0.05,0.05,0.0,-1.05383240923443e-18,4.24351062617122e-11,8.26436516255001e-24,4.2435105207888e-11,7.7027614877169e-18,0.0,0.0,0.0,-1.08168489090756e-18,4.21533516777402e-11,1.92238976132016e-23,4.21533505960746e-11,7.35863699241584e-18,-0.5,-0.5,0.0,0.0,-8.45884558080803e-11,0.0,-8.45884558080803e-11,-1.22669449516042e-16,0.0,2.98654865519518e-07,0.833092500852907,118615.974671071
4.29e-07,0.05,0.05,0.0,-1.03076096884512e-18,3.9923595340018e-11,8.40813175242047e-24,3.99235943092655e-11,7.69351696235347e-18,0.0,0.0,0.0,-6.66879220617584e-19,3.96707503776386e-11,1.94846570183835e-23,3.96707497107788e-11,7.34905538364078e-18,-0.5,-0.5,0.0,0.0,-7.95943440214865e-11,0.0,-7.95943440214865e-11,-1.2306742123615e-16,0.0,2.98521683282579e-07,0.837529116834435,119672.838706863
4.34e-07,0.05,0.05,0.0,-7.26639556472936e-19,3.75786324317893e-11,8.54677506928507e-24,3.75786317051583e-11,7.6846795560592e-18,0.0,0.0,0.0,-9.35104023839198e-19,3.73481019345663e-11,1.97342879356418e-23,3.7348100999482e-11,7.33994775011342e-18,-0.5,-0.5,0.0,0.0,-7.49267327050559e-11,0.0,-7.49267327050559e-11,-1.23442054899675e-16,0.0,2.98388882368969e-07,0.84227832508977,120670.633085541
4.39e-07,0.05,0.05,0.0,-6.20541088405197e-19,3.53829316659058e-11,8.6803510669537e-24,3.53829310453734e-11,7.67627038982856e-18,0.0,0.0,0.0,-7.15082214526678e-19,3.51701323651254e-11,1.99730941987689e-23,3.51701316500631e-11,7.33131456886254e-18,-0.5,-0.5,0.0,0.0,-7.05530627277086e-11,0.0,-7.05530627277086e-11,-1.23794820213314e-16,0.0,2.98256464175169e-07,0.847167788228327,121612.936897889
4.44e-07,0.05,0.05,0.0,-8.22232150023441e-19,3.33236473901024e-11,8.80890874591085e-24,3.33236465678791e-11,7.66829074315524e-18,0.0,0.0,0.0,-7.90615225155383e-19,3.31254404642892e-11,2.02013785279477e-23,3.31254396736942e-11,7.3231436306157e-18,-0.5,-0.5,0.0,0.0,-6.64490862427228e-11,0.0,-6.64490862427228e-11,-1.24127065644527e-16,0.0,2.98124429928711e-07,0.852070034338031,122503.101774072
4.49e-07,0.05,0.05,0.0,-8.31591653764635e-19,3.13903511477695e-11,8.93250335631935e-24,3.13903503161868e-11,7.66073105596146e-18,0.0,0.0,0.0,-5.25862804689027e-19,3.1204563912908e-11,2.0419453581036e-23,3.12045633870656e-11,7.31541663434024e-18,-0.5,-0.5,0.0,0.0,-6.25949137569829e-11,0.0,-6.25949137569829e-11,-1.24440040213312e-16,0.0,2.97992780698579e-07,0.856892144769313,123344.268869627
