node,V_pgm_V,V_t_virgin_V,V_t_postpgm_V,V_t_posters_V,pgm_shift_V,ers_shift_V,MW_V,M3_pass
n2,1.5,-0.09241836272991816,-0.29262593208101745,-0.21492326776784015,-0.2002075693510993,-0.122504905037922,0.0777026643131773,False
n4,2.0,-0.09241836272991816,-0.41788210385982105,-0.2595002056372766,-0.3254637411299029,-0.16708184290735845,0.15838189822254445,False
n5,2.5,-0.09241836272991816,-0.566030959340706,-0.2611831599915019,-0.47361259661078786,-0.16876479726158372,0.30484779934920414,False
n6,3.5,-0.09241836272991816,-0.9218132477517562,-0.07013295126312809,-0.829394885021838,0.02228541146679007,0.8516802964886281,True
n7,6.0,-0.09241836272991816,nan,nan,nan,nan,nan,False
